Time,Angle,Distance
1693, 0.00, 0.00, 
1705, 312.56, 0.00, 
1706, 313.81, 0.00, 
1706, 315.05, 0.00, 
1707, 316.30, 0.00, 
1708, 317.55, 0.00, 
1708, 318.78, 0.00, 
1709, 320.03, 0.00, 
1709, 321.27, 0.00, 
1710, 322.52, 0.00, 
1711, 323.77, 0.00, 
1711, 318.08, 0.00, 
1712, 319.33, 1395.25, 
1713, 320.55, 1398.50, 
1713, 321.80, 1404.25, 
1714, 323.03, 1404.75, 
1715, 324.25, 1414.00, 
1715, 325.72, 0.00, 
1716, 327.16, 0.00, 
1716, 334.95, 0.00, 
1717, 336.20, 0.00, 
1718, 330.62, 0.00, 
1718, 331.91, 1195.50, 
1719, 333.30, 0.00, 
1720, 334.47, 0.00, 
1720, 342.42, 0.00, 
1721, 343.67, 0.00, 
1722, 344.91, 0.00, 
1722, 346.14, 0.00, 
1723, 347.39, 0.00, 
1724, 341.42, 0.00, 
1724, 342.67, 1805.25, 
1725, 343.92, 1847.75, 
1725, 345.11, 1889.25, 
1726, 346.31, 1938.75, 
1727, 347.56, 1985.25, 
1727, 348.78, 2032.75, 
1728, 350.00, 2090.50, 
1729, 351.25, 0.00, 
1729, 352.47, 2215.25, 
1730, 353.72, 2204.75, 
1731, 354.95, 0.00, 
1731, 356.23, 2078.75, 
1732, 357.47, 2051.50, 
1734, 358.78, 0.00, 
1734, 0.03, 1861.00, 
1754, 1.28, 1893.50, 
1754, 9.75, 0.00, 
1755, 3.66, 0.00, 
1756, 12.23, 0.00, 
1756, 13.47, 0.00, 
1757, 7.94, 0.00, 
1758, 15.95, 0.00, 
1758, 17.20, 0.00, 
1759, 18.42, 0.00, 
1759, 19.67, 0.00, 
1760, 13.56, 0.00, 
1761, 14.84, 2119.00, 
1761, 16.09, 2108.75, 
1762, 17.31, 2107.25, 
1763, 18.56, 2099.50, 
1763, 19.81, 2083.50, 
1764, 21.06, 2075.00, 
1765, 22.33, 2065.25, 
1765, 23.53, 2060.50, 
1766, 24.78, 2061.75, 
1766, 26.02, 2071.75, 
1767, 27.23, 2079.25, 
1768, 28.52, 2081.75, 
1768, 37.05, 0.00, 
1769, 38.30, 0.00, 
1770, 32.05, 0.00, 
1770, 40.78, 0.00, 
1771, 39.97, 0.00, 
1772, 36.02, 0.00, 
1772, 37.23, 2119.00, 
1773, 45.81, 0.00, 
1774, 41.64, 0.00, 
1774, 42.08, 0.00, 
1775, 42.56, 0.00, 
1775, 50.83, 0.00, 
1776, 52.06, 0.00, 
1777, 45.52, 0.00, 
1777, 54.55, 0.00, 
1778, 48.03, 0.00, 
1779, 49.30, 0.00, 
1779, 50.55, 0.00, 
1780, 51.81, 0.00, 
1781, 53.08, 0.00, 
1781, 54.33, 4588.75, 
1782, 55.59, 4480.00, 
1783, 56.83, 0.00, 
1783, 58.33, 0.00, 
1784, 59.56, 2554.00, 
1784, 60.80, 0.00, 
1785, 61.98, 0.00, 
1786, 160.63, 1255.00, 
