Time,Angle,Distance
1778, 0.00, 0.00, 
1791, 230.00, 0.00, 
1791, 231.17, 0.00, 
1792, 232.34, 0.00, 
1793, 233.53, 0.00, 
1793, 234.70, 0.00, 
1794, 235.89, 0.00, 
1795, 237.05, 0.00, 
1795, 238.23, 0.00, 
1796, 239.41, 0.00, 
1796, 240.58, 0.00, 
1797, 241.75, 0.00, 
1798, 242.94, 0.00, 
1798, 244.09, 0.00, 
1799, 245.28, 0.00, 
1800, 246.45, 0.00, 
1800, 247.63, 0.00, 
1801, 248.80, 0.00, 
1802, 249.97, 0.00, 
1802, 251.14, 0.00, 
1803, 252.31, 0.00, 
1804, 253.48, 0.00, 
1804, 254.66, 0.00, 
1805, 255.84, 0.00, 
1806, 257.02, 0.00, 
1806, 258.14, 0.00, 
1807, 259.31, 0.00, 
1808, 260.48, 0.00, 
1808, 261.66, 0.00, 
1809, 262.83, 0.00, 
1809, 264.00, 0.00, 
1810, 265.17, 0.00, 
1811, 266.33, 0.00, 
1811, 267.52, 0.00, 
1812, 268.69, 0.00, 
1813, 269.86, 0.00, 
1813, 271.02, 0.00, 
1814, 272.19, 0.00, 
1815, 273.36, 0.00, 
1815, 274.53, 0.00, 
1816, 275.70, 0.00, 
1817, 276.88, 0.00, 
1817, 278.06, 0.00, 
1818, 279.22, 0.00, 
1819, 280.39, 0.00, 
1820, 281.56, 0.00, 
1821, 282.67, 0.00, 
1821, 283.84, 0.00, 
1822, 285.02, 0.00, 
1823, 286.19, 0.00, 
1823, 287.34, 0.00, 
1824, 288.53, 0.00, 
1824, 289.69, 0.00, 
1825, 290.86, 0.00, 
1826, 292.03, 0.00, 
1826, 293.20, 0.00, 
1827, 294.36, 0.00, 
1828, 295.53, 0.00, 
1828, 296.70, 0.00, 
1829, 297.88, 0.00, 
1830, 299.03, 0.00, 
1830, 300.20, 0.00, 
1831, 301.37, 0.00, 
1832, 302.55, 0.00, 
1832, 303.70, 0.00, 
1833, 304.87, 0.00, 
1834, 306.09, 0.00, 
1834, 307.27, 0.00, 
1835, 308.44, 0.00, 
1835, 309.61, 0.00, 
1836, 310.78, 0.00, 
1837, 311.94, 0.00, 
1837, 313.12, 0.00, 
1838, 314.28, 0.00, 
1839, 315.45, 0.00, 
1839, 316.63, 0.00, 
1840, 317.80, 0.00, 
1841, 318.97, 0.00, 
1841, 320.14, 0.00, 
1842, 321.31, 0.00, 
1843, 322.48, 0.00, 
1843, 323.64, 0.00, 
1844, 324.83, 0.00, 
1845, 325.98, 0.00, 
1845, 327.16, 0.00, 
1846, 328.33, 0.00, 
1847, 329.50, 0.00, 
1847, 330.73, 0.00, 
1848, 331.91, 0.00, 
1848, 333.08, 0.00, 
1849, 334.25, 0.00, 
1850, 335.42, 0.00, 
1850, 336.61, 0.00, 
1851, 337.78, 0.00, 
1852, 338.95, 0.00, 
1852, 340.12, 0.00, 
1853, 11.69, 0.00, 
1875, 5.98, 0.00, 
1875, 14.03, 0.00, 
1876, 15.19, 0.00, 
1877, 9.47, 0.00, 
1877, 17.53, 0.00, 
1878, 18.72, 0.00, 
1879, 12.77, 0.00, 
1879, 21.05, 0.00, 
1880, 22.20, 0.00, 
1880, 23.38, 0.00, 
1881, 24.55, 0.00, 
1882, 25.72, 0.00, 
1882, 26.89, 0.00, 
1883, 21.36, 0.00, 
1884, 22.56, 1083.25, 
1884, 30.39, 0.00, 
1885, 24.91, 1075.50, 
1886, 26.03, 1074.00, 
1886, 27.31, 1072.00, 
1887, 28.41, 1068.25, 
1888, 29.56, 1068.75, 
1888, 30.81, 1051.75, 
1889, 31.98, 1043.00, 
1890, 33.08, 1063.75, 
1890, 40.92, 0.00, 
1891, 42.17, 0.00, 
1892, 36.00, 0.00, 
1892, 44.50, 0.00, 
1893, 45.69, 0.00, 
1894, 46.84, 0.00, 
1894, 48.02, 0.00, 
1895, 49.20, 0.00, 
1895, 43.05, 2119.75, 
1896, 44.20, 2149.50, 
1897, 44.98, 0.00, 
1897, 46.16, 5457.50, 
1898, 47.33, 5491.75, 
1899, 48.44, 0.00, 
1899, 49.61, 7496.75, 
1900, 50.80, 0.00, 
1901, 51.98, 0.00, 
1901, 53.16, 0.00, 
1902, 54.34, 0.00, 
1903, 55.53, 0.00, 
1903, 56.70, 0.00, 
1904, 57.91, 0.00, 
1905, 59.06, 0.00, 
1905, 60.23, 0.00, 
1906, 61.44, 0.00, 
1906, 62.58, 4510.75, 
1907, 64.02, 0.00, 
1908, 65.19, 2540.50, 
1908, 66.33, 2579.75, 
1909, 67.45, 0.00, 
1910, 68.58, 0.00, 
1910, 69.73, 0.00, 
1911, 70.86, 0.00, 
1912, 72.03, 3659.25, 
1912, 73.20, 3572.00, 
1913, 74.39, 3489.50, 
1914, 75.59, 3423.75, 
