timestamp,millis,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1704886374,729053,0.011971,0.009577,-9.538500,-0.013856,0.020251,-0.022916
1704886374,729072,0.076614,-0.019154,-9.421184,-0.010392,0.019452,-0.024781
1704886374,729091,0.055067,-0.004788,-9.440337,-0.013856,0.016521,-0.021850
1704886374,729110,0.004788,0.043096,-9.509769,-0.015188,0.014655,-0.022116
1704886374,729130,0.062249,-0.007183,-9.382876,-0.013590,0.018119,-0.021850
1704886374,729149,0.088585,-0.007183,-9.428367,-0.011724,0.014922,-0.021850
1704886374,729170,-0.007183,0.016759,-9.430760,-0.013590,0.019185,-0.022649
1704886374,729190,0.016759,-0.045490,-9.387665,-0.012790,0.015455,-0.022116
1704886374,729209,0.076614,0.050278,-9.406818,-0.014123,0.018652,-0.022649
1704886374,729228,0.098162,-0.014365,-9.445126,-0.014922,0.019452,-0.023715
1704886374,729247,0.090980,0.009577,-9.442732,-0.013590,0.015721,-0.022116
1704886374,729266,0.045490,0.052672,-9.490616,-0.014389,0.018386,-0.021317
1704886374,729285,0.004788,0.035913,-9.442732,-0.017587,0.017320,-0.022649
1704886374,729307,0.026336,0.016759,-9.411607,-0.013057,0.018386,-0.022116
1704886374,729326,0.062249,-0.016759,-9.543288,-0.013323,0.016521,-0.023182
1704886374,729345,0.007183,-0.057461,-9.457097,-0.013323,0.015988,-0.021850
1704886374,729365,0.021548,0.007183,-9.548077,-0.012257,0.018652,-0.022383
1704886374,729384,0.047884,-0.045490,-9.509769,-0.012524,0.015188,-0.021850
1704886374,729403,0.047884,0.033519,-9.481039,-0.012790,0.018386,-0.022116
1704886374,729422,0.062249,-0.009577,-9.488221,-0.014655,0.015721,-0.023449
1704886374,729444,0.033519,-0.062249,-9.440337,-0.011991,0.015721,-0.025047
1704886374,729463,-0.019154,0.019154,-9.540894,-0.012524,0.021051,-0.023182
1704886374,729482,0.055067,0.043096,-9.488221,-0.014389,0.017587,-0.019985
1704886374,729501,0.043096,-0.023942,-9.392453,-0.011191,0.014922,-0.022116
1704886374,729520,0.088585,-0.011971,-9.454702,-0.013057,0.015188,-0.025047
1704886374,729539,0.035913,-0.047884,-9.402030,-0.015455,0.017853,-0.018919
1704886374,729568,0.114922,0.011971,-9.409213,-0.013323,0.017853,-0.020784
1704886374,729588,0.028730,0.026336,-9.481039,-0.016787,0.017320,-0.018119
1704886374,729607,0.088585,0.016759,-9.512163,-0.011724,0.020784,-0.023715
1704886374,729626,0.050278,-0.016759,-9.466674,-0.013590,0.018919,-0.025314
1704886374,729645,0.076614,0.043096,-9.514558,-0.015988,0.021051,-0.021317
1704886374,729664,0.816423,-0.193930,-7.989451,-0.011458,0.060487,-0.021850
1704886374,729682,0.294487,0.454898,-8.171411,-0.014389,0.062352,-0.026113
1704886374,729703,-0.773327,-0.696713,-7.271191,-0.026380,0.125237,-0.018652
1704886374,729722,4.132392,1.434127,-8.860941,-0.026380,0.033041,-0.024781
1704886374,729741,-0.342371,-0.773327,-9.600749,-0.016521,-0.024515,-0.027179
1704886374,729760,0.160412,0.169988,-7.223307,-0.011724,-0.022383,-0.027979
1704886374,729779,-0.040701,0.090980,-8.468291,-0.017054,0.001332,-0.026913
1704886374,729798,-0.040701,-0.110133,-10.319010,-0.017054,0.017853,-0.027446
1704886374,729817,0.045490,0.052672,-10.649409,-0.017320,0.003997,-0.025047
1704886374,729838,0.069432,-0.014365,-10.096349,-0.010392,-0.005063,-0.029044
1704886374,729857,0.064643,-0.055067,-10.029311,-0.008527,-0.014123,-0.026646
1704886374,729876,-0.038307,0.050278,-9.524135,-0.008527,-0.021850,-0.025847
1704886374,729895,0.000000,-0.004788,-9.706094,-0.011191,-0.013590,-0.024515
1704886374,729914,0.095768,-0.081403,-9.466674,-0.009859,-0.014655,-0.027979
1704886374,729932,0.086191,-0.004788,-9.358934,-0.007461,-0.019185,-0.027712
1704886374,729954,0.023942,-0.004788,-9.325416,-0.013323,-0.009060,-0.025580
1704886374,729972,0.081403,0.057461,-9.414001,-0.015721,-0.010658,-0.026113
1704886374,729991,0.011971,0.112527,-9.378088,-0.012257,-0.003198,-0.024515
1704886374,730010,-0.035913,-0.047884,-9.399636,-0.014389,0.000266,-0.026646
1704886374,730029,-0.014365,-0.023942,-9.330204,-0.012790,0.000533,-0.027979
1704886375,730048,0.021548,0.023942,-9.478644,-0.013057,0.006662,-0.023182
1704886375,730067,0.031125,-0.043096,-9.457097,-0.016521,0.006662,-0.023449
1704886375,730088,-0.043096,-0.011971,-9.423578,-0.012790,0.004263,-0.025314
1704886375,730107,-0.064643,0.000000,-9.385271,-0.014922,0.003464,-0.026913
1704886375,730126,0.011971,-0.004788,-9.459491,-0.014655,0.000533,-0.025047
1704886375,730145,-0.014365,0.035913,-9.548077,-0.013057,-0.001066,-0.023982
1704886375,730164,-0.038307,0.007183,-9.560047,-0.016787,-0.006662,-0.025847
1704886375,730183,-0.098162,0.014365,-9.380483,-0.016254,-0.004263,-0.025047
1704886375,730201,0.002394,0.028730,-9.356541,-0.016254,-0.009593,-0.026913
1704886375,730223,-0.004788,0.074220,-9.378088,-0.018919,-0.010925,-0.022916
1704886375,730241,-0.050278,0.016759,-9.567230,-0.017853,-0.009326,-0.022916
1704886375,730260,0.009577,0.031125,-9.449914,-0.018652,-0.004796,-0.024248
1704886375,730279,-0.055067,-0.011971,-9.943120,-0.015455,0.005063,-0.022649
1704886375,730298,-0.074220,-0.059855,-10.038888,-0.014123,0.019718,-0.018919
1704886375,730317,-0.320823,-0.191536,-10.771513,-0.008527,0.057023,-0.018119
1704886375,730336,-2.367866,0.593762,-11.020511,-0.003997,0.093795,-0.029044
1704886375,730357,-2.894590,0.495600,-9.339781,0.001332,0.149752,-0.047963
1704886375,730376,0.964863,0.196325,-7.520187,-0.003464,0.117510,-0.048230
1704886375,730395,2.592921,0.016759,-6.224925,-0.016521,0.034640,-0.049562
1704886375,730414,1.551443,-0.876278,-12.258312,-0.010925,0.038104,-0.032508
1704886375,730433,0.107739,0.490811,-7.393295,-0.013856,0.020784,-0.022916
1704886375,730452,0.088585,0.177171,-9.938332,-0.013057,0.015188,-0.022383
1704886375,730473,0.098162,-0.026336,-10.295067,-0.014123,0.014123,-0.022649
1704886375,730492,0.074220,0.047884,-8.231265,-0.014922,0.016787,-0.020251
1704886375,730511,0.083797,-0.016759,-10.323798,-0.011191,0.017054,-0.022116
1704886375,730529,0.059855,0.117316,-9.042900,-0.015988,0.019452,-0.023182
1704886375,730548,0.110133,0.067038,-9.143456,-0.010925,0.015988,-0.023715
1704886375,730567,0.040701,-0.045490,-10.275913,-0.014123,0.013323,-0.018386
1704886375,730586,0.045490,0.045490,-8.722076,-0.014389,0.020251,-0.020518
1704886375,730607,0.090980,0.016759,-9.495404,-0.013057,0.017054,-0.023715
1704886375,730626,0.057461,-0.023942,-9.986216,-0.012524,0.014922,-0.018386
1704886375,730645,0.035913,-0.007183,-8.779537,-0.016254,0.018386,-0.019185
1704886375,730665,-0.033519,0.031125,-9.933543,-0.011724,0.018119,-0.023449
1704886375,730684,0.100556,0.014365,-9.512163,-0.011191,0.016521,-0.022116
1704886375,730703,0.014365,0.043096,-8.992621,-0.013590,0.020784,-0.022649
1704886375,730722,0.059855,-0.062249,-10.036493,-0.013057,0.017853,-0.022383
1704886375,730744,0.014365,-0.031125,-9.409213,-0.013323,0.014922,-0.022383
1704886375,730763,0.045490,0.009577,-9.121908,-0.013590,0.017054,-0.024781
1704886375,730782,0.055067,-0.014365,-9.957485,-0.011191,0.020518,-0.022116
1704886375,730801,0.033519,0.031125,-9.217676,-0.013323,0.017320,-0.019985
1704886375,730820,0.081403,0.019154,-9.416395,-0.009859,0.016521,-0.023182
1704886375,730840,0.064643,0.007183,-9.782708,-0.015188,0.017587,-0.022116
1704886375,730859,0.057461,0.047884,-9.133880,-0.014389,0.018652,-0.021850
1704886375,730880,0.064643,0.016759,-9.466674,-0.013057,0.015721,-0.021850
