timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1706620003,6251853,0.083797,-0.016759,-9.567230,-0.013057,0.019185,-0.018652
1706620003,6251891,0.081403,-0.019154,-9.500193,-0.018386,0.018386,-0.021317
1706620003,6251931,0.143652,-0.023942,-9.560047,-0.013323,0.019985,-0.017587
1706620003,6251969,0.074220,0.011971,-9.514558,-0.014922,0.017587,-0.020784
1706620003,6252007,0.124498,0.004788,-9.459491,-0.017587,0.020784,-0.020784
1706620003,6252045,0.122104,-0.047884,-9.493010,-0.012257,0.019985,-0.020251
1706620003,6252083,0.095768,-0.035913,-9.459491,-0.015721,0.017853,-0.020784
1706620003,6252121,0.110133,-0.055067,-9.524135,-0.017054,0.020784,-0.021583
1706620003,6252162,0.155623,0.000000,-9.485827,-0.015988,0.019452,-0.017320
1706620003,6252200,0.110133,-0.043096,-9.411607,-0.012524,0.016521,-0.019985
1706620003,6252238,0.064643,-0.081403,-9.564836,-0.015988,0.018119,-0.022916
1706620003,6252276,0.090980,-0.043096,-9.531317,-0.016254,0.016521,-0.022383
1706620003,6252314,0.095768,-0.002394,-9.414001,-0.013590,0.020518,-0.022116
1706620003,6252352,0.090980,-0.026336,-9.574412,-0.013856,0.023715,-0.016787
1706620003,6252390,0.146046,-0.052672,-9.459491,-0.012524,0.018919,-0.018919
1706620003,6252430,0.064643,-0.040701,-9.607931,-0.012257,0.015988,-0.022116
1706620003,6252468,0.100556,-0.019154,-9.514558,-0.013057,0.015721,-0.021583
1706620003,6252506,0.076614,-0.016759,-9.471462,-0.013590,0.017320,-0.019718
1706620003,6252544,0.110133,-0.045490,-9.425972,-0.014655,0.016787,-0.021850
1706620003,6252582,0.071826,-0.038307,-9.560047,-0.013057,0.014389,-0.022383
1706620003,6252620,0.107739,-0.011971,-9.495404,-0.012524,0.019718,-0.022116
1706620003,6252658,0.122104,-0.009577,-9.466674,-0.010392,0.018652,-0.021317
1706620003,6252699,0.193930,-0.004788,-9.526528,-0.013057,0.018919,-0.022116
1706620003,6252737,0.102951,-0.021548,-9.428367,-0.015188,0.013856,-0.021583
1706620003,6252775,0.141258,-0.021548,-9.643845,-0.014922,0.017587,-0.019718
1706620004,6252813,0.079009,-0.007183,-9.615114,-0.012257,0.018652,-0.021850
1706620004,6252851,0.114922,0.043096,-9.560047,-0.017054,0.018119,-0.021850
1706620004,6252888,0.074220,-0.016759,-9.469068,-0.017320,0.018652,-0.020251
1706620004,6252929,0.069432,-0.026336,-9.531317,-0.015721,0.020518,-0.021317
1706620004,6252967,0.098162,-0.095768,-9.528923,-0.012790,0.017587,-0.021850
1706620004,6253006,0.028730,-0.035913,-9.576807,-0.013856,0.017853,-0.022916
1706620004,6253044,0.112527,0.014365,-9.507375,-0.010925,0.014922,-0.015721
1706620004,6253082,0.083797,-0.009577,-9.543288,-0.011458,0.017054,-0.022916
1706620004,6253120,-0.004788,0.134075,-6.617573,-0.001865,0.146821,-0.023982
1706620004,6253159,-0.167594,0.258574,-10.089166,-0.007194,0.074609,-0.014655
1706620004,6253200,0.014365,-0.074220,-8.492233,-0.011458,0.025047,-0.019185
1706620004,6253238,0.150835,0.344765,-8.319851,-0.028511,0.009859,-0.023449
1706620004,6253276,0.117316,-0.067038,-9.471462,-0.019718,0.001332,-0.022916
1706620004,6253314,0.095768,0.002394,-9.473856,-0.010658,0.010925,-0.022116
1706620004,6253353,0.102951,-0.016759,-9.536105,-0.014922,-0.001332,-0.023182
1706620004,6253391,0.110133,0.023942,-9.574412,-0.011991,-0.000533,-0.021850
1706620004,6253429,0.122104,0.002394,-9.651027,-0.009859,0.001599,-0.020251
1706620004,6253470,0.095768,-0.026336,-9.531317,-0.013057,-0.006928,-0.023182
1706620004,6253508,0.057461,-0.026336,-9.610326,-0.012257,-0.006395,-0.021850
1706620004,6253547,0.055067,0.052672,-9.435549,-0.014123,0.002665,-0.022383
1706620004,6253585,0.093374,0.009577,-9.476251,-0.009859,0.004796,-0.020784
1706620004,6253623,0.122104,-0.011971,-9.636662,-0.010925,0.006395,-0.020518
1706620004,6253661,0.043096,0.014365,-9.394848,-0.014123,0.010392,-0.021317
1706620004,6253702,0.088585,0.014365,-9.830592,-0.011191,0.017587,-0.019718
1706620004,6253740,0.028730,0.016759,-9.643845,-0.016521,0.015988,-0.019718
1706620004,6253779,0.026336,-0.019154,-9.605537,-0.014389,0.005596,-0.019452
1706620005,6253817,0.090980,-0.002394,-9.416395,-0.014389,0.001066,-0.021583
1706620005,6253855,0.019154,-0.035913,-9.619903,-0.014655,-0.005596,-0.019185
1706620005,6253894,0.076614,-0.052672,-9.885659,-0.009326,0.019185,-0.020251
1706620005,6253932,0.038307,-0.081403,-10.421960,-0.005596,0.075409,-0.023715
1706620005,6253973,0.742203,0.112527,-7.888895,0.000533,0.094328,-0.048763
1706620005,6254011,0.074220,0.179565,-8.511387,-0.019985,0.018119,-0.021051
1706620005,6254049,0.100556,0.016759,-10.058042,0.027979,0.116977,-0.017320
1706620005,6254087,-0.332794,-0.038307,-7.740454,-0.036772,-0.050095,-0.018652
1706620005,6254126,-0.086191,0.138864,-9.528923,-0.001865,0.047697,-0.019718
1706620005,6254164,-0.363919,0.591368,-10.172963,-0.017587,0.001066,-0.021317
1706620005,6254202,0.098162,-0.110133,-11.769896,-0.010392,0.018652,-0.022916
1706620005,6254243,-0.122104,0.301669,-10.362105,-0.002931,0.031975,-0.021850
1706620005,6254281,0.141258,0.016759,-9.308656,-0.026113,-0.011458,-0.019985
1706620005,6254320,-0.023942,0.112527,-8.810662,-0.004796,0.037838,-0.024248
1706620005,6254358,0.148441,-0.038307,-9.603143,-0.023182,-0.005596,-0.021317
