timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1706622020,8268883,0.083797,-0.055067,-9.512163,-0.014123,0.017587,-0.022383
1706622020,8268925,0.090980,-0.040701,-9.548077,-0.015188,0.012257,-0.025047
1706622020,8268968,0.086191,-0.002394,-9.569624,-0.015188,0.019718,-0.023182
1706622020,8269010,0.093374,-0.033519,-9.557653,-0.014123,0.017853,-0.022383
1706622020,8269053,0.081403,-0.045490,-9.572019,-0.011191,0.017054,-0.023449
1706622020,8269095,0.095768,-0.064643,-9.459491,-0.013856,0.018919,-0.024781
1706622020,8269141,0.129287,-0.040701,-9.464279,-0.010126,0.015721,-0.022383
1706622020,8269183,0.074220,-0.040701,-9.639056,-0.014389,0.020251,-0.022383
1706622020,8269226,0.138864,-0.007183,-9.593566,-0.014922,0.018386,-0.023715
1706622020,8269268,0.064643,-0.007183,-9.593566,-0.014389,0.020251,-0.024781
1706622020,8269311,0.110133,-0.033519,-9.526528,-0.013590,0.017587,-0.021583
1706622020,8269353,0.059855,0.004788,-9.528923,-0.012524,0.014655,-0.023715
1706622020,8269398,0.136469,-0.014365,-9.526528,-0.014389,0.014922,-0.021317
1706622020,8269441,0.035913,-0.002394,-9.483433,-0.016521,0.015721,-0.023449
1706622020,8269483,0.100556,-0.050278,-9.457097,-0.013323,0.017054,-0.024515
1706622020,8269526,0.079009,-0.021548,-9.593566,-0.014389,0.016254,-0.023449
1706622020,8269569,0.126893,-0.031125,-9.636662,-0.011991,0.017853,-0.022383
1706622020,8269611,0.105345,0.023942,-9.586384,-0.014655,0.014655,-0.022649
1706622020,8269654,0.081403,0.000000,-9.540894,-0.012257,0.018652,-0.021317
1706622020,8269699,0.083797,-0.045490,-9.481039,-0.010658,0.015721,-0.021317
1706622020,8269741,-0.411803,0.416591,-6.991069,-0.027979,0.066349,-0.027179
1706622020,8269784,0.280122,0.131681,-9.844957,-0.014123,-0.013323,-0.020251
1706622021,8269826,0.021548,-0.208296,-9.995792,-0.014922,0.028245,-0.023182
1706622021,8269869,0.124498,0.016759,-8.736442,-0.013323,0.052227,-0.020251
1706622021,8269911,0.105345,0.076614,-9.552865,-0.020518,0.014922,-0.026913
1706622021,8269954,0.191536,-0.055067,-9.536105,-0.025314,0.027979,-0.022649
1706622021,8269999,0.155623,-0.031125,-9.722853,-0.016521,0.023449,-0.022116
1706622021,8270042,0.143652,0.009577,-9.758766,-0.018119,0.023182,-0.023982
1706622021,8270084,0.150835,-0.011971,-9.641450,-0.011191,0.013856,-0.026380
1706622021,8270127,0.177171,-0.021548,-9.624691,-0.010925,0.005596,-0.026913
1706622021,8270169,0.117316,-0.035913,-9.691729,-0.011458,-0.003997,-0.025847
1706622021,8270212,0.102951,-0.035913,-9.665392,-0.012257,-0.008527,-0.025847
1706622021,8270257,0.138864,0.004788,-9.461885,-0.012790,-0.006928,-0.024515
1706622021,8270299,0.076614,0.009577,-9.715671,-0.013323,-0.012524,-0.023715
1706622021,8270342,0.067038,0.081403,-9.490616,-0.014922,-0.003997,-0.024248
1706622021,8270384,0.169988,0.002394,-9.421184,-0.013323,0.007194,-0.022116
1706622021,8270427,0.100556,-0.023942,-9.373300,-0.014389,0.015188,-0.023182
1706622021,8270469,0.079009,0.007183,-9.718064,-0.012524,0.014389,-0.023182
1706622021,8270512,0.052672,-0.026336,-9.334992,-0.011724,0.015188,-0.020251
1706622021,8270565,0.110133,-0.011971,-9.481039,-0.016521,0.014655,-0.026646
1706622021,8270608,0.112527,0.007183,-9.497798,-0.010392,0.017587,-0.023182
1706622021,8270650,0.059855,0.064643,-9.516952,-0.014123,0.016254,-0.024248
1706622021,8270692,0.114922,0.023942,-9.605537,-0.014655,0.014922,-0.021317
1706622021,8270734,0.107739,0.059855,-9.727641,-0.012524,0.017853,-0.025047
1706622021,8270777,0.071826,-0.026336,-10.022128,-0.006395,0.025580,-0.024515
1706622022,8270819,-0.002394,0.069432,-9.928755,0.002132,0.039170,-0.025314
1706622022,8270864,0.222661,0.268151,-9.471462,-0.012257,0.029577,-0.026646
1706622022,8270906,-0.083797,0.112527,-9.725247,0.002931,0.062885,-0.025847
1706622022,8270948,0.356736,-0.131681,-10.730812,-0.031176,-0.039969,-0.024515
1706622022,8270990,0.081403,0.342371,-8.516175,0.007194,0.082870,-0.026113
1706622022,8271033,0.067038,0.028730,-8.918402,-0.037571,-0.026913,-0.027446
1706622022,8271075,-0.002394,-0.160412,-9.260772,0.011991,0.068214,-0.021850
1706622022,8271119,0.035913,-0.201113,-9.014170,-0.035440,-0.025314,-0.022116
1706622022,8271162,0.117316,-0.031125,-9.464279,-0.002665,0.038904,-0.023715
1706622022,8271204,0.000000,0.086191,-9.050082,-0.019452,-0.001865,-0.021850
1706622022,8271246,0.136469,-0.081403,-9.658210,-0.007994,0.029044,-0.021850
1706622022,8271288,0.035913,0.035913,-9.449914,-0.013323,0.016521,-0.024248
1706622022,8271331,0.148441,0.023942,-10.026917,-0.015721,0.015721,-0.026380
1706622022,8271373,0.059855,0.028730,-9.646238,-0.006928,0.028511,-0.024781
1706622022,8271418,0.076614,0.014365,-9.679757,-0.020784,0.002931,-0.024515
1706622022,8271460,0.105345,-0.045490,-9.701305,-0.007461,0.026646,-0.025314
1706622022,8271502,0.081403,-0.009577,-9.440337,-0.013856,0.005862,-0.022383
1706622022,8271545,0.136469,-0.011971,-9.639056,-0.012790,0.015721,-0.025847
1706622022,8271587,0.146046,0.004788,-9.315839,-0.010925,0.019185,-0.025580
1706622022,8271629,0.057461,-0.057461,-9.481039,-0.013057,0.010925,-0.019718
1706622022,8271671,0.102951,0.009577,-9.512163,-0.009060,0.021051,-0.023449
1706622022,8271716,0.045490,-0.038307,-9.411607,-0.012524,0.013590,-0.023982
1706622022,8271758,0.124498,-0.011971,-9.464279,-0.014123,0.014655,-0.024515
1706622022,8271801,0.090980,-0.007183,-9.507375,-0.011458,0.018919,-0.025047
