timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1704886369,724064,0.050278,-0.023942,-9.478644,-0.014655,0.018919,-0.022383
1704886369,724083,0.122104,0.002394,-9.569624,-0.014389,0.016787,-0.021317
1704886369,724102,0.050278,0.045490,-9.404425,-0.013590,0.017853,-0.020518
1704886369,724121,0.009577,-0.043096,-9.414001,-0.012790,0.016521,-0.023715
1704886369,724140,0.052672,-0.033519,-9.457097,-0.014123,0.017320,-0.023982
1704886369,724161,0.069432,-0.088585,-9.478644,-0.011991,0.021051,-0.022383
1704886369,724180,0.026336,-0.052672,-9.378088,-0.013057,0.017587,-0.021317
1704886369,724199,0.093374,0.004788,-9.447520,-0.014922,0.017587,-0.021051
1704886369,724218,0.057461,-0.038307,-9.469068,-0.013323,0.014922,-0.024515
1704886369,724236,0.081403,-0.004788,-9.483433,-0.014389,0.016787,-0.024248
1704886369,724255,0.081403,0.021548,-9.502586,-0.012257,0.020784,-0.023715
1704886369,724276,0.031125,-0.021548,-9.404425,-0.017054,0.015721,-0.019985
1704886369,724296,0.064643,-0.043096,-9.368511,-0.012524,0.017853,-0.023182
1704886369,724315,0.129287,0.019154,-9.411607,-0.014655,0.021051,-0.021051
1704886369,724334,0.045490,0.028730,-9.524135,-0.015455,0.015455,-0.020784
1704886369,724353,0.007183,0.052672,-9.466674,-0.013323,0.018919,-0.018386
1704886369,724372,0.100556,-0.004788,-9.454702,-0.013057,0.014922,-0.025047
1704886369,724391,-0.016759,0.040701,-9.493010,-0.014655,0.018652,-0.019985
1704886369,724413,0.086191,-0.016759,-9.524135,-0.014655,0.018652,-0.022383
1704886369,724432,0.067038,0.009577,-9.485827,-0.014123,0.019718,-0.021850
1704886369,724462,0.014365,0.026336,-9.464279,-0.012790,0.016787,-0.019452
1704886369,724481,0.026336,-0.023942,-9.500193,-0.017587,0.022916,-0.021051
1704886369,724500,0.021548,0.016759,-9.354146,-0.012257,0.017054,-0.022649
1704886369,724519,0.007183,-0.057461,-9.459491,-0.013057,0.023182,-0.021317
1704886369,724538,0.028730,0.016759,-9.521740,-0.013323,0.015188,-0.022916
1704886369,724560,0.043096,0.011971,-9.447520,-0.012524,0.016787,-0.021583
1704886369,724579,0.011971,0.253785,-8.954314,-0.018652,0.053559,-0.025314
1704886369,724598,-0.514753,-0.122104,-1.345541,-0.016521,0.205976,-0.015455
1704886369,724617,-0.292093,0.191536,-12.564771,0.009593,0.127103,-0.026380
1704886369,724637,-0.246603,-0.402226,-11.729194,-0.013590,0.033308,-0.028245
1704886369,724656,0.253785,-0.019154,-7.414843,-0.007994,0.032775,-0.027179
1704886369,724675,0.529119,-0.158017,-9.169792,-0.018652,-0.001599,-0.031176
1704886369,724697,0.026336,-0.014365,-9.497798,-0.014123,-0.022916,-0.025314
