timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1704888384,2739085,0.055067,0.023942,-9.504981,-0.011724,0.017054,-0.021850
1704888384,2739113,0.014365,0.011971,-9.464279,-0.015455,0.017853,-0.020251
1704888384,2739140,0.000000,-0.007183,-9.440337,-0.013856,0.019452,-0.022649
1704888384,2739170,0.090980,-0.002394,-9.471462,-0.013323,0.016521,-0.022383
1704888384,2739198,0.052672,0.026336,-9.380483,-0.013057,0.018386,-0.022649
1704888384,2739225,0.038307,0.059855,-9.423578,-0.010658,0.019185,-0.023182
1704888384,2739253,0.000000,0.074220,-9.423578,-0.013856,0.016521,-0.018919
1704888384,2739280,0.021548,-0.031125,-9.469068,-0.012790,0.015988,-0.022383
1704888384,2739307,0.074220,-0.023942,-9.500193,-0.013590,0.016787,-0.021051
1704888384,2739335,0.014365,0.002394,-9.538500,-0.013590,0.013057,-0.020251
1704888384,2739365,0.105345,0.009577,-9.402030,-0.014655,0.015988,-0.022916
1704888384,2739392,0.086191,0.026336,-9.449914,-0.014389,0.014389,-0.022916
1704888384,2739420,0.088585,0.031125,-9.459491,-0.015188,0.019718,-0.019718
1704888384,2739447,0.081403,0.000000,-9.473856,-0.015188,0.017587,-0.021583
1704888384,2739475,0.086191,0.043096,-9.478644,-0.014123,0.017054,-0.021317
1704888384,2739502,0.043096,-0.069432,-9.538500,-0.013323,0.015988,-0.022649
1704888384,2739529,0.102951,-0.062249,-9.447520,-0.015188,0.019985,-0.021317
1704888384,2739619,0.069432,0.009577,-9.385271,-0.013856,0.019452,-0.019452
1704888384,2739647,0.074220,-0.011971,-9.485827,-0.012257,0.017054,-0.023982
1704888384,2739675,0.033519,0.011971,-9.473856,-0.011191,0.020518,-0.023715
1704888384,2739702,0.045490,0.035913,-9.509769,-0.015721,0.018652,-0.020784
1704888384,2739729,0.093374,0.040701,-9.454702,-0.012524,0.017587,-0.023982
1704888384,2739756,0.052672,0.067038,-9.469068,-0.014922,0.014922,-0.018652
1704888384,2739785,0.023942,-0.026336,-9.500193,-0.013590,0.015988,-0.020518
1704888384,2739813,0.052672,-0.019154,-9.493010,-0.014655,0.018386,-0.022116
1704888384,2739840,0.062249,0.028730,-9.538500,-0.015188,0.016254,-0.022116
1704888384,2739867,0.023942,-0.033519,-9.394848,-0.015721,0.017054,-0.023182
1704888384,2739894,0.023942,-0.031125,-9.464279,-0.013590,0.019985,-0.023182
1704888384,2739921,0.093374,0.002394,-9.416395,-0.013323,0.018386,-0.021583
1704888384,2739948,0.055067,-0.023942,-9.452309,-0.014389,0.016254,-0.023982
1704888384,2739978,0.028730,-0.038307,-9.370906,-0.011991,0.019452,-0.020251
1704888384,2740005,0.031125,0.004788,-9.502586,-0.013856,0.018919,-0.020518
1704888384,2740032,0.071826,0.002394,-9.442732,-0.013323,0.017587,-0.020784
1704888385,2740059,0.098162,0.002394,-9.437943,-0.012524,0.015455,-0.021317
1704888385,2740087,0.069432,0.002394,-9.402030,-0.014655,0.018919,-0.024515
1704888385,2740114,0.028730,-0.011971,-9.536105,-0.014922,0.017320,-0.021850
1704888385,2740141,0.079009,0.016759,-9.464279,-0.015988,0.019185,-0.022116
1704888385,2740170,0.031125,0.016759,-9.488221,-0.013057,0.014655,-0.022383
1704888385,2740198,0.445322,0.134075,-4.173094,-0.023449,0.077008,-0.024515
1704888385,2740225,-0.158017,0.304064,-10.773908,-0.013590,0.094861,-0.024781
1704888385,2740252,-0.028730,0.057461,-10.728417,-0.005862,0.019185,-0.023449
1704888385,2740279,0.050278,-0.079009,-10.433931,-0.013590,0.027446,-0.022649
