timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1706612110,6687032,0.155623,0.009577,-9.351752,-0.012257,0.021051,-0.021850
1706612110,6687070,0.131681,-0.059855,-9.694122,-0.013590,0.019985,-0.022649
1706612110,6687111,0.117316,0.000000,-9.540894,-0.014389,0.016521,-0.024515
1706612110,6687149,0.126893,-0.009577,-9.557653,-0.012790,0.019185,-0.022116
1706612110,6687188,0.088585,-0.076614,-9.442732,-0.014389,0.019185,-0.019452
1706612110,6687226,0.069432,0.007183,-9.406818,-0.013057,0.016521,-0.022649
1706612110,6687264,0.105345,-0.004788,-9.495404,-0.011724,0.013856,-0.023982
1706612110,6687302,0.165200,0.016759,-9.279925,-0.015721,0.017853,-0.018919
1706612110,6687341,0.081403,-0.009577,-9.543288,-0.012790,0.015721,-0.022649
1706612110,6687382,0.102951,-0.016759,-9.610326,-0.014655,0.019718,-0.023982
1706612110,6687421,0.105345,-0.067038,-9.572019,-0.010392,0.018119,-0.021583
1706612110,6687459,0.143652,-0.026336,-9.406818,-0.010658,0.016521,-0.019452
1706612110,6687498,0.172383,-0.007183,-9.346964,-0.011991,0.015721,-0.023449
1706612110,6687536,0.124498,-0.019154,-9.437943,-0.013323,0.019452,-0.021850
1706612110,6687575,0.086191,0.016759,-9.591172,-0.015455,0.016787,-0.021850
1706612110,6687614,0.093374,-0.052672,-9.504981,-0.014655,0.020251,-0.021583
1706612110,6687655,0.076614,0.014365,-9.567230,-0.015188,0.014922,-0.021850
1706612110,6687693,0.119710,-0.009577,-9.473856,-0.013590,0.018386,-0.021850
1706612110,6687732,0.093374,-0.016759,-9.524135,-0.014922,0.016521,-0.021051
1706612110,6687771,0.136469,-0.014365,-9.651027,-0.013590,0.017320,-0.018919
1706612110,6687809,0.086191,0.038307,-9.591172,-0.012257,0.015988,-0.021317
1706612110,6687848,0.074220,0.004788,-9.418790,-0.017054,0.022916,-0.024248
1706612110,6687887,0.083797,0.011971,-9.504981,-0.013590,0.016254,-0.019718
1706612110,6687928,0.102951,0.031125,-9.572019,-0.013856,0.015455,-0.022916
1706612110,6687967,0.081403,0.014365,-9.423578,-0.015721,0.016254,-0.023715
1706612111,6688005,0.059855,0.035913,-9.481039,-0.014655,0.019452,-0.021583
1706612111,6688044,0.043096,0.007183,-9.540894,-0.011991,0.016787,-0.021317
1706612111,6688083,0.069432,-0.026336,-9.471462,-0.011991,0.015455,-0.020784
1706612111,6688121,0.150835,-0.031125,-9.533711,-0.015188,0.019185,-0.021583
1706612111,6688163,0.067038,0.011971,-9.639056,-0.011991,0.018119,-0.021051
1706612111,6688201,0.117316,0.052672,-9.519346,-0.013856,0.020251,-0.017320
1706612111,6688240,0.088585,-0.011971,-9.430760,-0.015455,0.018652,-0.016787
1706612111,6688279,0.105345,0.016759,-9.581595,-0.011191,0.013057,-0.022649
1706612111,6688317,0.110133,-0.074220,-9.478644,-0.012257,0.017054,-0.021583
1706612111,6688356,0.138864,-0.083797,-9.442732,-0.013856,0.019718,-0.022916
1706612111,6688395,0.098162,-0.019154,-9.615114,-0.013057,0.015188,-0.018919
1706612111,6688436,0.122104,0.038307,-9.457097,-0.015188,0.017320,-0.019985
1706612111,6688475,0.124498,0.007183,-9.557653,-0.011724,0.019718,-0.018919
1706612111,6688514,0.122104,-0.031125,-9.485827,-0.014389,0.017054,-0.018919
1706612111,6688552,0.107739,-0.074220,-9.521740,-0.013856,0.017853,-0.019718
1706612111,6688591,0.105345,-0.011971,-9.416395,-0.012257,0.019718,-0.021051
1706612111,6688630,0.105345,-0.011971,-9.488221,-0.011458,0.015455,-0.020784
1706612111,6688668,0.095768,0.019154,-9.516952,-0.014389,0.019718,-0.017054
1706612111,6688709,0.162806,0.002394,-9.516952,-0.011991,0.021051,-0.024781
1706612111,6688748,0.076614,0.004788,-9.497798,-0.014655,0.017853,-0.023449
1706612111,6688787,0.033519,-0.038307,-9.524135,-0.013057,0.018652,-0.021583
1706612111,6688826,0.043096,0.002394,-9.425972,-0.015455,0.019718,-0.019718
1706612111,6688864,0.167594,-0.011971,-9.512163,-0.012257,0.018119,-0.019718
1706612111,6688903,0.098162,-0.055067,-9.533711,-0.013323,0.017320,-0.023715
1706612111,6688944,0.035913,-0.023942,-9.581595,-0.011724,0.016787,-0.021583
1706612111,6688983,0.146046,-0.031125,-9.500193,-0.010392,0.018652,-0.022383
