timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1704882597,4858575,0.090980,0.016759,-9.548077,-0.011191,0.018119,-0.021051
1704882597,4858609,0.038307,0.067038,-9.481039,-0.014389,0.014655,-0.021583
1704882597,4858644,0.028730,-0.023942,-9.435549,-0.013057,0.018119,-0.021850
1704882597,4858678,0.090980,-0.016759,-9.406818,-0.013590,0.016787,-0.021317
1704882597,4858712,0.035913,0.004788,-9.406818,-0.013323,0.015455,-0.021317
1704882597,4858749,0.045490,0.000000,-9.387665,-0.010658,0.019185,-0.021583
1704882597,4858783,0.031125,0.052672,-9.502586,-0.013323,0.018652,-0.019718
1704882597,4858817,0.038307,0.007183,-9.548077,-0.014123,0.017054,-0.021317
1704882597,4858851,0.129287,0.009577,-9.363723,-0.014655,0.019185,-0.020251
1704882597,4858885,0.004788,0.045490,-9.402030,-0.009060,0.014655,-0.023715
1704882597,4858919,0.074220,0.014365,-9.507375,-0.012257,0.014123,-0.021317
1704882597,4858956,0.031125,-0.002394,-9.509769,-0.014655,0.020251,-0.022649
1704882597,4858990,0.062249,0.095768,-9.502586,-0.014655,0.016521,-0.022116
1704882597,4859024,0.009577,-0.009577,-9.485827,-0.013323,0.015188,-0.021051
1704882597,4859059,0.069432,-0.016759,-9.500193,-0.012524,0.017054,-0.022916
1704882597,4859093,0.035913,-0.009577,-9.404425,-0.011191,0.019185,-0.018119
1704882597,4859127,0.076614,0.076614,-9.531317,-0.014922,0.017853,-0.023449
1704882597,4859161,0.083797,0.043096,-9.404425,-0.012257,0.020518,-0.020784
1704882597,4859198,0.131681,0.047884,-9.490616,-0.014123,0.018919,-0.022916
1704882597,4859232,0.011971,0.002394,-9.375694,-0.015721,0.016521,-0.024781
1704882597,4859266,0.043096,0.028730,-9.481039,-0.016521,0.019452,-0.017587
1704882597,4859300,0.083797,-0.009577,-9.497798,-0.013590,0.017853,-0.023715
1704882597,4859334,-0.011971,0.000000,-9.433155,-0.011991,0.016254,-0.023182
1704882597,4859369,0.047884,-0.011971,-9.519346,-0.011724,0.018652,-0.022649
1704882597,4859403,0.076614,-0.019154,-9.421184,-0.013057,0.017320,-0.022649
1704882597,4859440,0.045490,-0.004788,-9.442732,-0.015455,0.016254,-0.021850
