timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1704882670,4931574,0.004788,-0.011971,-9.502586,-0.014123,0.019185,-0.025580
1704882670,4931611,0.023942,-0.035913,-9.449914,-0.014389,0.016254,-0.022116
1704882670,4931645,0.071826,0.009577,-9.449914,-0.015721,0.016254,-0.021317
1704882670,4931678,0.067038,0.031125,-9.488221,-0.013590,0.016254,-0.020784
1704882670,4931712,0.081403,-0.023942,-9.504981,-0.014655,0.018652,-0.024248
1704882670,4931746,0.057461,0.011971,-9.466674,-0.013057,0.017587,-0.023715
1704882670,4931780,0.064643,0.059855,-9.483433,-0.018119,0.017054,-0.019985
1704882670,4931816,0.023942,0.040701,-9.394848,-0.015455,0.017320,-0.021051
1704882670,4931850,0.050278,0.067038,-9.478644,-0.014922,0.015188,-0.023449
1704882670,4931884,-0.002394,0.059855,-9.466674,-0.011458,0.014922,-0.023449
1704882670,4931918,0.040701,-0.033519,-9.373300,-0.014389,0.018386,-0.022383
1704882670,4931952,0.074220,0.031125,-9.528923,-0.012257,0.015455,-0.021850
1704882670,4931986,0.019154,-0.002394,-9.445126,-0.013590,0.020518,-0.021850
1704882670,4932020,0.016759,0.055067,-9.488221,-0.011991,0.017054,-0.022916
1704882670,4932056,0.011971,0.023942,-9.478644,-0.011724,0.017587,-0.024248
1704882670,4932090,0.031125,0.009577,-9.464279,-0.014922,0.017587,-0.021317
1704882670,4932124,0.035913,0.050278,-9.507375,-0.011991,0.020251,-0.021850
1704882670,4932157,0.069432,0.000000,-9.469068,-0.011458,0.019985,-0.017853
1704882670,4932191,0.064643,0.023942,-9.447520,-0.012790,0.019185,-0.019718
1704882670,4932225,0.052672,-0.016759,-9.430760,-0.014389,0.014922,-0.023449
1704882670,4932259,0.026336,0.052672,-9.445126,-0.014389,0.013856,-0.023449
1704882670,4932295,0.028730,0.038307,-9.301474,-0.013856,0.020251,-0.024781
1704882670,4932329,0.023942,-0.011971,-9.543288,-0.011458,0.017320,-0.021583
1704882670,4932363,-0.026336,0.047884,-9.442732,-0.015721,0.014922,-0.023449
1704882670,4932398,-0.009577,0.021548,-9.502586,-0.013057,0.014123,-0.022649
1704882670,4932432,0.019154,0.045490,-9.526528,-0.010126,0.019452,-0.025580
1704882670,4932466,0.014365,0.052672,-9.483433,-0.013057,0.018652,-0.022116
1704882670,4932503,0.026336,0.045490,-9.404425,-0.015188,0.017320,-0.020518
1704882671,4932537,0.033519,-0.040701,-9.469068,-0.014389,0.015721,-0.022116
1704882671,4932571,-0.040701,0.031125,-9.550470,-0.011991,0.017587,-0.021850
1704882671,4932605,0.076614,0.040701,-9.526528,-0.012524,0.021850,-0.024781
1704882671,4932639,0.023942,0.002394,-9.483433,-0.012257,0.017587,-0.022649
1704882671,4932673,0.021548,0.000000,-9.440337,-0.011991,0.018119,-0.022649
1704882671,4932708,0.088585,-0.028730,-9.416395,-0.013590,0.018919,-0.023715
1704882671,4932744,0.023942,-0.055067,-9.428367,-0.011724,0.015988,-0.022916
1704882671,4932778,0.052672,0.040701,-9.521740,-0.017853,0.017587,-0.023982
1704882671,4932813,0.083797,0.031125,-9.478644,-0.012257,0.015988,-0.023982
1704882671,4932847,0.038307,0.050278,-9.476251,-0.017320,0.017587,-0.020251
1704882671,4932881,0.023942,0.031125,-9.457097,-0.013323,0.019985,-0.021583
1704882671,4932915,0.067038,0.035913,-9.516952,-0.016787,0.014389,-0.022649
1704882671,4932949,0.047884,-0.016759,-9.421184,-0.015721,0.020518,-0.023715
