timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1704887716,2071061,0.059855,0.031125,-9.524135,-0.011724,0.017853,-0.023182
1704887716,2071085,0.167594,0.031125,-9.512163,-0.013590,0.017054,-0.020251
1704887716,2071109,0.019154,0.004788,-9.351752,-0.014922,0.019452,-0.024248
1704887716,2071134,0.040701,-0.009577,-9.466674,-0.011724,0.015988,-0.022916
1704887716,2071158,-0.002394,0.023942,-9.457097,-0.013323,0.014922,-0.023715
1704887716,2071183,0.083797,0.000000,-9.476251,-0.012257,0.017320,-0.021583
1704887716,2071209,0.105345,0.055067,-9.461885,-0.014922,0.020784,-0.020251
1704887716,2071234,0.069432,0.016759,-9.504981,-0.012524,0.014655,-0.023449
1704887716,2071259,0.086191,-0.002394,-9.464279,-0.014123,0.015455,-0.022649
1704887716,2071283,0.086191,-0.059855,-9.574412,-0.014389,0.015455,-0.022649
1704887716,2071308,0.045490,0.004788,-9.476251,-0.014123,0.016254,-0.023982
1704887716,2071333,0.007183,-0.004788,-9.509769,-0.012524,0.020251,-0.023449
1704887716,2071357,0.047884,-0.007183,-9.540894,-0.011458,0.017587,-0.023449
1704887716,2071385,0.026336,0.026336,-9.397242,-0.013590,0.014655,-0.020518
1704887716,2071410,0.086191,0.028730,-9.481039,-0.013856,0.018652,-0.021850
1704887716,2071434,0.052672,0.050278,-9.430760,-0.011724,0.015455,-0.021051
1704887716,2071459,0.011971,0.016759,-9.552865,-0.013856,0.017853,-0.023982
1704887716,2071484,0.057461,-0.055067,-9.543288,-0.013856,0.020251,-0.022116
1704887716,2071509,0.047884,-0.031125,-9.378088,-0.012257,0.019718,-0.019985
1704887716,2071533,0.047884,0.019154,-9.461885,-0.011458,0.016521,-0.022116
1704887716,2071561,0.074220,0.043096,-9.366117,-0.011991,0.019985,-0.022649
1704887716,2071585,0.011971,0.035913,-9.502586,-0.013590,0.018386,-0.022383
1704887716,2071610,0.071826,0.062249,-9.464279,-0.015455,0.017054,-0.021583
1704887716,2071635,0.086191,0.000000,-9.485827,-0.012257,0.019185,-0.023715
1704887716,2071660,0.059855,0.007183,-9.437943,-0.013590,0.021051,-0.022116
1704887716,2071684,0.004788,-0.059855,-9.500193,-0.012257,0.016787,-0.021583
1704887716,2071711,0.007183,-0.011971,-9.435549,-0.013323,0.018919,-0.018386
1704887716,2071736,0.076614,0.057461,-9.342175,-0.013856,0.016254,-0.022116
1704887716,2071761,0.035913,-0.007183,-9.449914,-0.015455,0.019718,-0.024248
1704887716,2071786,0.047884,0.016759,-9.540894,-0.014922,0.014655,-0.020784
1704887716,2071810,0.019154,0.002394,-9.485827,-0.014123,0.018919,-0.023715
1704887716,2071835,0.057461,0.021548,-9.449914,-0.013590,0.016521,-0.023982
1704887716,2071860,0.040701,0.031125,-9.425972,-0.013590,0.015988,-0.023715
1704887716,2071887,0.067038,-0.011971,-9.488221,-0.015455,0.017853,-0.020784
1704887716,2071912,0.052672,-0.004788,-9.483433,-0.013323,0.015721,-0.020784
1704887716,2071937,-0.014365,-0.004788,-9.454702,-0.014922,0.017320,-0.020251
1704887716,2071961,0.000000,-0.043096,-9.485827,-0.014123,0.016254,-0.022116
1704887716,2071986,0.031125,0.016759,-9.373300,-0.013057,0.019985,-0.021583
1704887716,2072011,0.069432,-0.052672,-9.452309,-0.013323,0.017587,-0.022916
1704887717,2072036,0.002394,0.007183,-9.459491,-0.014655,0.019718,-0.021317
1704887717,2072063,0.052672,0.004788,-9.610326,-0.012524,0.019985,-0.022383
1704887717,2072088,0.021548,0.043096,-9.476251,-0.013856,0.014389,-0.021850
1704887717,2072112,0.031125,0.004788,-9.447520,-0.015721,0.014655,-0.021850
1704887717,2072137,0.098162,-0.067038,-9.459491,-0.011724,0.021317,-0.021850
1704887717,2072162,0.095768,-0.031125,-9.469068,-0.014123,0.018652,-0.020784
1704887717,2072187,0.083797,0.040701,-9.557653,-0.012257,0.020251,-0.022116
1704887717,2072214,0.059855,0.019154,-9.543288,-0.013323,0.018652,-0.019185
1704887717,2072239,0.062249,0.007183,-9.552865,-0.013590,0.014389,-0.022649
1704887717,2072263,0.069432,-0.023942,-9.490616,-0.014123,0.015188,-0.020784
1704887717,2072288,0.016759,0.002394,-9.478644,-0.014655,0.018119,-0.019718
1704887717,2072313,0.023942,0.004788,-9.447520,-0.013590,0.015188,-0.017853
1704887717,2072338,0.040701,0.011971,-9.476251,-0.016521,0.020518,-0.023449
1704887717,2072362,0.076614,0.009577,-9.464279,-0.014655,0.015455,-0.021317
1704887717,2072390,0.090980,-0.019154,-9.497798,-0.015721,0.018652,-0.022916
1704887717,2072414,0.074220,0.023942,-9.464279,-0.014922,0.016787,-0.021317
1704887717,2072439,0.031125,0.023942,-9.555259,-0.012790,0.019185,-0.021317
1704887717,2072464,0.016759,0.002394,-9.447520,-0.015721,0.015721,-0.022383
1704887717,2072488,0.050278,-0.050278,-9.382876,-0.013590,0.016521,-0.022116
1704887717,2072513,0.083797,0.035913,-9.418790,-0.016521,0.017320,-0.022116
1704887717,2072538,0.033519,0.014365,-9.349358,-0.015188,0.016787,-0.025047
1704887717,2072573,0.043096,-0.074220,-9.469068,-0.012790,0.015721,-0.023982
1704887717,2072598,0.031125,0.007183,-9.550470,-0.014123,0.019985,-0.020784
1704887717,2072622,0.083797,-0.014365,-9.459491,-0.012257,0.019985,-0.021317
1704887717,2072647,0.076614,0.033519,-9.481039,-0.014922,0.015455,-0.022916
1704887717,2072671,0.067038,-0.035913,-9.459491,-0.009593,0.014922,-0.021850
1704887717,2072695,0.105345,-0.004788,-9.557653,-0.015188,0.013590,-0.021850
1704887717,2072720,0.071826,-0.076614,-9.421184,-0.012790,0.020518,-0.021850
1704887717,2072747,0.074220,-0.009577,-9.485827,-0.014922,0.014123,-0.022649
1704887717,2072771,0.083797,0.026336,-9.440337,-0.014123,0.013856,-0.022383
1704887717,2072796,0.009577,-0.038307,-9.512163,-0.014922,0.017853,-0.025047
1704887717,2072820,-0.002394,0.023942,-9.452309,-0.015455,0.019985,-0.024781
1704887717,2072844,0.038307,0.014365,-9.428367,-0.011991,0.017054,-0.022649
1704887717,2072869,0.083797,-0.023942,-9.555259,-0.012524,0.020784,-0.022916
1704887717,2072896,0.069432,-0.007183,-9.488221,-0.012524,0.019985,-0.018652
1704887717,2072920,0.055067,0.007183,-9.430760,-0.011191,0.021850,-0.021583
1704887717,2072945,0.076614,-0.009577,-9.418790,-0.014655,0.017054,-0.020518
1704887717,2072969,0.045490,0.014365,-9.490616,-0.014655,0.018119,-0.021051
1704887717,2072993,0.069432,-0.045490,-9.402030,-0.014389,0.019185,-0.021317
1704887717,2073018,0.057461,0.011971,-9.533711,-0.014922,0.014123,-0.022383
1704887718,2073042,0.028730,0.011971,-9.385271,-0.012790,0.018919,-0.022916
1704887718,2073069,0.035913,0.038307,-9.442732,-0.014123,0.017320,-0.019718
1704887718,2073094,0.136469,0.035913,-9.421184,-0.012257,0.015988,-0.022916
1704887718,2073118,0.064643,0.004788,-9.418790,-0.015455,0.022649,-0.021850
1704887718,2073143,0.050278,-0.019154,-9.466674,-0.012524,0.018386,-0.022916
1704887718,2073167,0.023942,-0.026336,-9.449914,-0.012524,0.014389,-0.021850
1704887718,2073191,0.047884,-0.007183,-9.476251,-0.013323,0.020518,-0.018119
1704887718,2073216,0.062249,-0.019154,-9.421184,-0.015721,0.017853,-0.023182
1704887718,2073243,0.114922,0.040701,-9.454702,-0.012257,0.013856,-0.025047
1704887718,2073267,0.040701,0.007183,-9.461885,-0.017853,0.019452,-0.019985
1704887718,2073292,0.069432,0.016759,-9.481039,-0.011724,0.019718,-0.022916
1704887718,2073316,0.057461,-0.004788,-9.399636,-0.014922,0.016521,-0.022916
1704887718,2073341,0.088585,-0.052672,-9.493010,-0.014655,0.018919,-0.020518
1704887718,2073365,0.131681,0.004788,-9.425972,-0.011458,0.017054,-0.024515
1704887718,2073392,0.098162,0.031125,-9.509769,-0.013856,0.016787,-0.021317
1704887718,2073417,0.062249,0.014365,-9.481039,-0.011724,0.018652,-0.022916
1704887718,2073441,0.045490,-0.023942,-9.466674,-0.014389,0.018386,-0.021317
1704887718,2073465,0.035913,0.016759,-9.490616,-0.012790,0.015721,-0.023715
1704887718,2073490,0.076614,0.002394,-9.435549,-0.013590,0.015721,-0.022116
1704887718,2073514,0.081403,0.059855,-9.423578,-0.012790,0.021051,-0.023449
1704887718,2073539,0.062249,-0.019154,-9.464279,-0.014389,0.016521,-0.022383
1704887718,2073566,0.038307,-0.023942,-9.445126,-0.013057,0.017320,-0.022916
1704887718,2073590,0.086191,-0.011971,-9.346964,-0.012524,0.013856,-0.023982
1704887718,2073615,0.057461,-0.011971,-9.500193,-0.011991,0.018386,-0.023449
1704887718,2073639,0.035913,0.035913,-9.433155,-0.014123,0.022649,-0.026113
1704887718,2073663,0.023942,-0.007183,-9.418790,-0.011724,0.015455,-0.023982
1704887718,2073688,0.064643,0.052672,-9.387665,-0.012790,0.019185,-0.024515
1704887718,2073712,0.019154,0.043096,-9.442732,-0.015988,0.021317,-0.023449
1704887718,2073739,0.035913,0.035913,-9.370906,-0.014389,0.017320,-0.019718
1704887718,2073763,0.045490,-0.059855,-9.428367,-0.014389,0.016521,-0.022116
1704887718,2073788,0.079009,0.014365,-9.442732,-0.013590,0.017853,-0.021051
1704887718,2073812,0.031125,0.016759,-9.572019,-0.009593,0.015988,-0.022649
1704887718,2073837,0.057461,0.057461,-9.387665,-0.011724,0.014389,-0.020251
1704887718,2073861,0.014365,-0.045490,-9.459491,-0.013590,0.019985,-0.021051
1704887718,2073888,-0.023942,0.000000,-9.416395,-0.012257,0.014655,-0.023715
1704887718,2073913,0.057461,0.031125,-9.478644,-0.013856,0.019452,-0.022116
1704887718,2073937,0.074220,-0.057461,-9.430760,-0.012790,0.020784,-0.020251
1704887718,2073962,0.076614,-0.019154,-9.461885,-0.011191,0.017853,-0.025047
1704887718,2073987,0.064643,-0.021548,-9.392453,-0.014922,0.018119,-0.022383
1704887718,2074011,0.045490,-0.021548,-9.495404,-0.014655,0.021317,-0.019985
1704887719,2074036,0.007183,0.028730,-9.560047,-0.014655,0.017320,-0.020518
1704887719,2074063,0.074220,0.050278,-9.493010,-0.013590,0.017853,-0.022116
