timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1706606134,711016,0.081403,-0.071826,-9.504981,-0.015988,0.016787,-0.018919
1706606134,711035,0.076614,-0.021548,-9.478644,-0.011724,0.019452,-0.025580
1706606134,711057,0.076614,-0.057461,-9.516952,-0.012790,0.015721,-0.022383
1706606134,711076,0.098162,-0.055067,-9.461885,-0.014123,0.019452,-0.022649
1706606134,711095,0.153229,0.000000,-9.507375,-0.014389,0.020784,-0.021051
1706606134,711115,0.131681,-0.011971,-9.521740,-0.012524,0.017320,-0.019718
1706606134,711134,0.052672,0.002394,-9.483433,-0.013057,0.018652,-0.021317
1706606134,711153,0.052672,0.000000,-9.521740,-0.011191,0.015721,-0.020784
1706606134,711172,0.088585,-0.023942,-9.605537,-0.012257,0.018652,-0.022116
1706606134,711201,0.021548,-0.011971,-9.488221,-0.014389,0.016254,-0.017853
1706606134,711221,0.153229,0.028730,-9.497798,-0.014123,0.018652,-0.022116
1706606134,711240,0.114922,-0.033519,-9.490616,-0.012257,0.016787,-0.019718
1706606134,711259,0.155623,0.002394,-9.500193,-0.011991,0.018919,-0.019985
1706606134,711278,0.160412,-0.040701,-9.555259,-0.013057,0.016254,-0.020784
1706606134,711297,0.105345,0.002394,-9.562442,-0.012790,0.016787,-0.022649
1706606134,711316,0.160412,0.023942,-9.567230,-0.012790,0.019185,-0.023715
1706606134,711337,0.141258,0.043096,-9.435549,-0.013856,0.017587,-0.021850
1706606134,711356,0.110133,0.045490,-9.574412,-0.011191,0.015455,-0.020518
1706606134,711375,0.102951,-0.038307,-9.545682,-0.014123,0.018386,-0.025314
1706606134,711394,0.076614,0.007183,-9.507375,-0.010392,0.018119,-0.022383
1706606134,711413,0.117316,0.009577,-9.512163,-0.013856,0.018652,-0.021583
1706606134,711432,0.129287,-0.011971,-9.514558,-0.014389,0.017054,-0.021317
1706606134,711451,0.141258,-0.059855,-9.490616,-0.015188,0.016521,-0.023182
1706606134,711472,0.095768,-0.035913,-9.500193,-0.013323,0.019452,-0.023715
1706606134,711491,0.117316,-0.016759,-9.586384,-0.013323,0.016787,-0.021051
1706606134,711510,0.093374,-0.071826,-9.509769,-0.012257,0.019718,-0.022116
1706606134,711529,0.148441,-0.033519,-9.593566,-0.017320,0.018119,-0.019985
1706606134,711548,0.150835,-0.047884,-9.437943,-0.012790,0.014123,-0.023182
1706606134,711567,0.079009,-0.052672,-9.605537,-0.011991,0.022383,-0.021051
1706606134,711588,0.055067,-0.021548,-9.583989,-0.011991,0.016521,-0.018386
1706606134,711607,0.107739,-0.055067,-9.504981,-0.011458,0.019452,-0.018386
1706606134,711626,0.136469,-0.014365,-9.524135,-0.012524,0.015988,-0.025314
1706606134,711645,0.136469,0.043096,-9.574412,-0.011724,0.019452,-0.022116
1706606134,711664,0.110133,0.004788,-9.579201,-0.011191,0.017320,-0.021583
1706606134,711682,0.119710,-0.014365,-9.445126,-0.012524,0.014922,-0.023449
1706606134,711701,0.105345,-0.031125,-9.500193,-0.011991,0.016787,-0.022116
1706606134,711723,0.141258,-0.023942,-9.545682,-0.013856,0.013057,-0.022116
1706606134,711742,0.117316,0.045490,-9.557653,-0.015188,0.017587,-0.021850
1706606134,711760,0.086191,0.002394,-9.445126,-0.014922,0.016254,-0.019185
1706606134,711779,0.129287,0.023942,-9.605537,-0.013057,0.017853,-0.021317
1706606134,711798,0.079009,-0.019154,-9.490616,-0.013057,0.015721,-0.021850
1706606134,711817,0.148441,-0.016759,-9.560047,-0.012257,0.017587,-0.021583
1706606134,711836,0.088585,0.052672,-9.433155,-0.016521,0.017320,-0.023182
1706606134,711857,0.119710,0.016759,-9.497798,-0.012524,0.017054,-0.021051
1706606134,711876,0.124498,-0.014365,-9.471462,-0.015721,0.015188,-0.022649
1706606134,711895,0.083797,-0.069432,-9.466674,-0.014655,0.019452,-0.020518
1706606134,711914,0.064643,-0.021548,-9.469068,-0.014922,0.021317,-0.020784
1706606134,711933,0.102951,-0.047884,-9.643845,-0.013590,0.018119,-0.021583
1706606134,711952,0.126893,0.011971,-9.483433,-0.015455,0.015188,-0.019718
1706606134,711971,0.081403,-0.043096,-9.557653,-0.014123,0.015988,-0.023715
1706606135,711992,0.090980,0.057461,-9.576807,-0.014655,0.016254,-0.020251
1706606135,712011,0.102951,0.031125,-9.655815,-0.012790,0.018386,-0.021317
1706606135,712030,0.105345,-0.016759,-9.466674,-0.014389,0.017587,-0.023182
1706606135,712049,0.129287,-0.031125,-9.595961,-0.012524,0.023715,-0.027446
1706606135,712068,0.079009,0.055067,-9.416395,-0.010925,0.019985,-0.023449
1706606135,712087,0.141258,0.021548,-9.442732,-0.011724,0.016521,-0.019985
1706606135,712106,0.126893,-0.067038,-9.526528,-0.013057,0.015188,-0.019452
1706606135,712127,0.126893,-0.011971,-9.502586,-0.014389,0.018652,-0.018386
1706606135,712146,0.162806,0.011971,-9.485827,-0.014655,0.019718,-0.021051
1706606135,712165,0.067038,-0.004788,-9.576807,-0.013856,0.017054,-0.018386
1706606135,712183,0.074220,-0.045490,-9.485827,-0.015188,0.017587,-0.024781
1706606135,712202,0.131681,0.026336,-9.538500,-0.012257,0.012257,-0.022383
1706606135,712221,0.110133,-0.028730,-9.500193,-0.013856,0.017587,-0.021850
1706606135,712243,0.069432,0.000000,-9.536105,-0.015188,0.019985,-0.021317
1706606135,712262,0.134075,0.023942,-9.507375,-0.012524,0.016521,-0.021317
1706606135,712281,0.052672,0.004788,-9.531317,-0.013856,0.021317,-0.023182
1706606135,712300,0.069432,0.021548,-9.481039,-0.015721,0.020518,-0.022116
1706606135,712319,0.105345,0.045490,-9.516952,-0.013856,0.014389,-0.021850
1706606135,712338,0.105345,0.038307,-9.574412,-0.012790,0.019718,-0.022649
1706606135,712357,0.093374,-0.016759,-9.473856,-0.012524,0.015988,-0.019718
1706606135,712379,0.105345,-0.019154,-9.586384,-0.013856,0.017587,-0.021051
1706606135,712398,0.129287,0.023942,-9.550470,-0.011724,0.015455,-0.021583
1706606135,712418,0.110133,-0.016759,-9.579201,-0.010925,0.013057,-0.020251
1706606135,712437,0.100556,-0.021548,-9.504981,-0.013057,0.017587,-0.020251
1706606135,712456,0.148441,-0.004788,-9.521740,-0.014389,0.016254,-0.021583
1706606135,712475,0.158017,-0.057461,-9.497798,-0.011724,0.019185,-0.023715
1706606135,712494,0.112527,0.028730,-9.500193,-0.014655,0.018119,-0.019452
1706606135,712516,0.134075,-0.016759,-9.562442,-0.012257,0.016521,-0.021051
1706606135,712535,0.043096,0.002394,-9.490616,-0.014922,0.016787,-0.021850
1706606135,712554,0.083797,-0.033519,-9.495404,-0.014123,0.015988,-0.020518
1706606135,712574,0.055067,0.016759,-9.481039,-0.014655,0.019452,-0.022383
1706606135,712593,0.079009,0.004788,-9.562442,-0.013057,0.015988,-0.021850
1706606135,712612,0.117316,-0.004788,-9.500193,-0.014123,0.013323,-0.022383
1706606135,712631,0.117316,-0.038307,-9.521740,-0.014123,0.017320,-0.021583
1706606135,712653,0.227449,-0.098162,-9.124303,-0.022383,0.002931,-0.018919
1706606135,712672,-0.064643,0.002394,-10.450690,-0.019985,0.009326,-0.022383
1706606135,712691,0.169988,-0.186748,-9.083601,-0.020251,0.000799,-0.021850
1706606135,712711,0.119710,-0.136469,-9.998186,-0.023715,-0.018652,-0.021317
1706606135,712730,0.026336,0.088585,-9.205706,-0.029844,-0.034107,-0.022116
1706606135,712749,-0.083797,0.153229,-8.688558,-0.013057,0.010925,-0.021317
1706606135,712771,0.028730,0.011971,-9.528923,0.000000,0.048496,-0.020518
1706606135,712790,0.160412,-0.021548,-10.558430,-0.016521,0.006928,-0.020518
1706606135,712809,0.076614,-0.033519,-9.114726,-0.024781,0.000533,-0.023715
1706606135,712828,0.004788,-0.002394,-9.107543,-0.000533,0.046631,-0.018386
1706606135,712848,0.189142,-0.011971,-9.902418,-0.005596,0.027446,-0.020518
1706606135,712867,0.069432,0.067038,-9.385271,-0.023715,-0.003997,-0.021317
1706606135,712886,-0.016759,0.074220,-8.899248,-0.009060,0.021583,-0.024515
1706606135,712908,0.167594,-0.064643,-10.170568,-0.011991,0.010658,-0.024248
1706606135,712927,-0.019154,0.035913,-9.038112,-0.022383,-0.014655,-0.022383
1706606135,712946,-0.014365,0.067038,-9.157822,-0.010925,0.014389,-0.021317
1706606135,712965,0.105345,-0.011971,-9.622296,-0.022916,-0.028245,-0.022916
1706606136,712985,0.067038,0.009577,-9.469068,-0.019718,-0.002665,-0.018652
1706606136,713004,0.069432,0.033519,-9.260772,-0.019985,-0.024781,-0.021317
1706606136,713023,0.081403,-0.011971,-9.916783,-0.022649,-0.048763,-0.018652
1706606136,713045,0.000000,-0.050278,-9.330204,-0.024781,-0.052760,-0.023715
1706606136,713064,-0.016759,0.057461,-9.828198,-0.021051,-0.022383,-0.021317
1706606136,713083,-0.021548,0.055067,-9.804255,-0.021583,-0.004796,-0.022383
1706606136,713102,0.011971,-0.040701,-9.423578,-0.016787,-0.005596,-0.022916
1706606136,713122,0.050278,-0.023942,-9.789890,-0.016254,-0.001599,-0.021583
1706606136,713141,0.000000,0.040701,-9.435549,-0.020518,0.001066,-0.020784
1706606136,713160,0.023942,0.011971,-9.533711,-0.015455,0.000000,-0.018919
1706606136,713182,-0.019154,0.016759,-9.696517,-0.014655,0.005862,-0.022383
1706606136,713201,0.028730,-0.009577,-9.459491,-0.014123,0.004530,-0.022383
1706606136,713220,-0.043096,0.052672,-9.502586,-0.016521,-0.001332,-0.023982
1706606136,713239,0.038307,0.021548,-9.552865,-0.013590,0.007194,-0.021583
1706606136,713258,0.047884,0.023942,-9.588778,-0.014922,0.008260,-0.021583
1706606136,713277,-0.004788,0.021548,-9.689334,-0.012524,0.013590,-0.019718
1706606136,713307,0.009577,-0.007183,-9.770737,-0.015188,0.015188,-0.020251
1706606136,713327,-0.007183,0.035913,-9.576807,-0.011724,0.024781,-0.020251
1706606136,713345,-0.019154,0.050278,-9.490616,-0.010658,0.031176,-0.022116
1706606136,713364,0.023942,0.000000,-9.473856,-0.011724,0.026380,-0.023715
1706606136,713383,0.014365,0.007183,-9.641450,-0.013323,0.033041,-0.022916
