timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1704881378,3639539,0.040701,0.043096,-9.435549,-0.016787,0.020251,-0.021051
1704881378,3639569,0.083797,0.026336,-9.485827,-0.012790,0.015721,-0.021317
1704881378,3639599,0.035913,0.007183,-9.437943,-0.012524,0.015721,-0.022116
1704881378,3639628,0.035913,0.019154,-9.493010,-0.014123,0.016521,-0.021583
1704881378,3639658,0.011971,-0.007183,-9.411607,-0.012524,0.018919,-0.023715
1704881378,3639688,0.045490,0.045490,-9.447520,-0.012790,0.019185,-0.020784
1704881378,3639720,0.031125,0.016759,-9.478644,-0.014655,0.020251,-0.022116
1704881378,3639750,0.050278,0.043096,-9.488221,-0.012790,0.018652,-0.021583
1704881378,3639780,0.083797,0.019154,-9.495404,-0.014123,0.018652,-0.021317
1704881378,3639810,0.023942,0.067038,-9.478644,-0.014655,0.019985,-0.024781
1704881378,3639840,0.004788,0.007183,-9.469068,-0.016521,0.018386,-0.021051
1704881378,3639870,0.019154,0.000000,-9.449914,-0.014389,0.021051,-0.022916
1704881378,3639900,0.031125,0.035913,-9.636662,-0.009593,0.018386,-0.022383
1704881378,3639932,0.007183,-0.045490,-9.514558,-0.013323,0.018919,-0.023182
1704881378,3639962,0.019154,0.047884,-9.500193,-0.017320,0.018386,-0.023715
1704881378,3639991,-0.167594,0.567426,-6.933608,-0.027712,0.050894,-0.025314
1704881378,3640021,0.924162,0.469264,-5.956774,-0.030377,0.030377,-0.026113
1704881378,3640051,-1.146823,-0.102951,-9.744401,-0.031443,0.055158,-0.030377
1704881378,3640081,0.308852,-0.136469,-9.512163,-0.032508,0.038104,-0.023449
1704881378,3640111,0.081403,0.088585,-9.662998,-0.029577,0.046364,-0.024515
1704881378,3640143,0.083797,-0.019154,-10.091560,-0.022116,0.014655,-0.024781
1704881378,3640173,0.117316,0.031125,-9.763555,-0.018919,0.006129,-0.026113
1704881378,3640203,0.086191,0.067038,-9.667787,-0.008527,0.018119,-0.025580
1704881378,3640233,0.098162,0.007183,-9.574412,-0.010925,0.013057,-0.024515
1704881378,3640263,0.134075,0.100556,-9.495404,-0.011191,0.005329,-0.022383
