Time,Angle,Distance
1756, 231.09, 0.00, 
1766, 246.08, 827.25, 
1767, 247.30, 829.00, 
1767, 248.58, 830.00, 
1768, 249.73, 834.75, 
1769, 250.91, 838.25, 
1769, 252.23, 840.50, 
1770, 253.30, 844.75, 
1771, 254.61, 849.75, 
1771, 255.84, 855.50, 
1772, 256.94, 862.00, 
1772, 258.25, 868.25, 
1773, 259.41, 874.50, 
1774, 260.53, 881.75, 
1774, 261.84, 889.00, 
1775, 263.06, 896.75, 
1776, 264.16, 905.75, 
1776, 265.45, 916.75, 
1777, 266.56, 925.75, 
1778, 267.83, 934.75, 
1778, 268.94, 946.25, 
1779, 270.20, 959.25, 
1780, 271.37, 973.50, 
1780, 272.53, 986.50, 
1781, 273.75, 999.50, 
1782, 275.00, 1012.50, 
1782, 276.17, 1028.25, 
1783, 277.31, 1047.50, 
1784, 278.55, 1065.00, 
1784, 279.73, 1083.75, 
1785, 280.91, 1106.00, 
1785, 282.08, 1126.50, 
1786, 283.25, 1146.50, 
1787, 284.45, 1174.25, 
1787, 285.69, 1201.50, 
1788, 286.81, 1227.25, 
1789, 288.00, 1258.25, 
1789, 289.27, 1290.00, 
1790, 290.44, 1322.75, 
1791, 291.58, 1357.75, 
1791, 292.75, 1397.25, 
1792, 293.94, 1440.00, 
1793, 295.17, 1482.25, 
1793, 296.30, 0.00, 
1795, 297.47, 0.00, 
1795, 298.69, 0.00, 
1796, 299.92, 0.00, 
1797, 301.12, 0.00, 
1797, 302.33, 0.00, 
1798, 303.50, 0.00, 
1799, 304.66, 0.00, 
1799, 305.87, 0.00, 
1800, 314.42, 0.00, 
1801, 308.23, 0.00, 
1801, 309.42, 0.00, 
1802, 318.08, 0.00, 
1802, 311.75, 0.00, 
1803, 320.50, 0.00, 
1804, 321.72, 0.00, 
1804, 322.94, 0.00, 
1805, 316.63, 0.00, 
1806, 317.84, 3304.50, 
1806, 319.03, 3292.75, 
1807, 320.28, 3273.25, 
1808, 321.48, 3260.25, 
1808, 322.70, 3247.75, 
1809, 323.89, 3241.50, 
1810, 325.14, 3237.50, 
1810, 326.34, 3220.25, 
1811, 327.56, 3196.25, 
1812, 328.80, 3176.00, 
1812, 330.00, 3156.50, 
1813, 331.22, 3140.50, 
1814, 332.44, 3134.25, 
1814, 333.67, 3129.50, 
1815, 334.89, 3123.50, 
1815, 336.11, 3120.00, 
1816, 337.33, 3116.50, 
1817, 338.55, 3112.50, 
1817, 339.75, 3104.25, 
1818, 340.97, 3093.50, 
1819, 342.20, 3084.75, 
1819, 343.37, 0.00, 
1820, 352.14, 0.00, 
1821, 353.36, 0.00, 
1821, 347.03, 0.00, 
1822, 348.23, 3457.50, 
1823, 349.42, 3482.75, 
1823, 350.66, 3516.75, 
1824, 351.88, 3550.50, 
1825, 353.08, 3577.00, 
1825, 354.30, 3620.50, 
1826, 355.52, 3665.00, 
1827, 356.73, 3691.00, 
1827, 5.55, 0.00, 
1844, 359.12, 3757.25, 
1845, 31.92, 0.00, 
1854, 33.13, 3229.00, 
1855, 34.34, 3202.50, 
1856, 35.61, 3177.25, 
1856, 36.80, 3147.50, 
1857, 38.02, 3119.00, 
1858, 39.23, 3097.00, 
1858, 40.47, 3072.50, 
1859, 41.69, 3046.25, 
1860, 42.89, 3017.50, 
1860, 44.13, 2986.25, 
1861, 45.34, 2961.50, 
1862, 46.53, 2942.75, 
1862, 47.77, 2928.50, 
1863, 48.98, 2913.75, 
1864, 50.20, 2909.75, 
1864, 51.42, 2904.00, 
1865, 52.66, 2893.25, 
1865, 53.83, 2885.25, 
1866, 55.06, 2875.25, 
1867, 56.25, 2866.50, 
1867, 57.48, 2853.50, 
1868, 58.73, 2848.50, 
1869, 59.95, 2850.75, 
1869, 61.16, 2848.75, 
1870, 62.38, 2848.50, 
1871, 63.58, 2849.25, 
1871, 64.80, 2853.50, 
1872, 66.02, 2854.25, 
1873, 67.22, 2855.75, 
1873, 68.44, 2862.50, 
1874, 69.66, 2862.00, 
1875, 70.87, 2871.00, 
1875, 72.06, 2886.25, 
1876, 73.28, 2902.50, 
1877, 74.50, 2918.25, 
1877, 75.73, 2894.50, 
1878, 76.94, 0.00, 
1878, 78.16, 2973.00, 
1879, 79.34, 2989.25, 
1880, 80.56, 3012.75, 
1880, 81.77, 3042.25, 
1881, 83.02, 3074.25, 
1882, 84.20, 3103.00, 
1882, 85.42, 3118.25, 
1883, 86.64, 3134.25, 
1884, 87.84, 3160.00, 
1884, 89.05, 52.25, 
1885, 121.97, 0.00, 
1886, 130.53, 0.00, 
1886, 131.75, 0.00, 
1887, 132.95, 0.00, 
1888, 134.17, 0.00, 
1888, 135.39, 0.00, 
1889, 136.59, 0.00, 
1890, 137.81, 0.00, 
1890, 138.95, 0.00, 
1891, 140.16, 0.00, 
1891, 141.36, 0.00, 
1892, 142.58, 0.00, 
1893, 143.78, 0.00, 
1893, 144.98, 0.00, 
1894, 146.20, 0.00, 
1895, 147.41, 0.00, 
1895, 148.61, 0.00, 
1896, 149.81, 0.00, 
1897, 151.03, 0.00, 
1897, 152.25, 0.00, 
1898, 153.45, 0.00, 
1899, 154.66, 0.00, 
1899, 155.87, 0.00, 
1900, 157.08, 6836.75, 
1901, 214.91, 892.75, 
1901, 216.17, 886.25, 
1902, 217.37, 879.00, 
1903, 218.53, 871.50, 
1903, 219.81, 865.00, 
1904, 221.03, 859.25, 
1904, 222.23, 853.00, 
1905, 223.42, 847.00, 
1906, 224.66, 843.00, 
1906, 226.69, 0.00, 
1907, 227.84, 0.00, 
1908, 229.45, 0.00, 
1908, 230.67, 535.75, 
1909, 232.00, 525.75, 
1910, 233.17, 512.75, 
1910, 234.33, 507.50, 
1911, 235.45, 507.00, 
1912, 236.83, 507.00, 
1912, 237.97, 509.75, 
1913, 239.17, 515.00, 
1914, 240.25, 521.00, 
1914, 241.59, 524.50, 
1915, 242.67, 526.25, 
1916, 243.97, 530.00, 
1916, 245.22, 529.75, 
1917, 246.28, 532.25, 
1918, 247.45, 542.00, 
1918, 248.70, 554.75, 
1919, 255.20, 0.00, 
1919, 250.14, 0.00, 
1920, 251.36, 838.00, 
1921, 252.66, 842.25, 
1921, 253.88, 846.75, 
1922, 254.92, 852.25, 
1923, 256.23, 859.00, 
1923, 257.36, 865.75, 
1924, 258.56, 871.00, 
1925, 259.78, 876.25, 
1925, 261.00, 884.00, 
1926, 262.25, 891.75, 
1927, 263.36, 900.00, 
1927, 264.56, 909.25, 
1928, 265.78, 919.50, 
1929, 266.92, 929.75, 
1929, 268.17, 938.25, 
1930, 269.34, 949.50, 
1931, 270.59, 962.75, 
1931, 271.69, 975.50, 
1932, 272.95, 990.25, 
1933, 274.09, 1004.00, 
1933, 275.28, 1016.75, 
1934, 276.45, 1033.50, 
1935, 277.69, 1051.50, 
1935, 278.77, 1068.25, 
1936, 280.02, 1087.50, 
1936, 281.22, 1109.25, 
1937, 282.36, 1131.50, 
1938, 283.53, 1154.00, 
1938, 284.72, 1180.00, 
1939, 285.89, 1206.75, 
1940, 287.09, 1233.75, 
1940, 288.28, 1263.25, 
1941, 289.44, 1293.75, 
1942, 290.62, 1328.50, 
1942, 291.78, 1364.25, 
1943, 293.00, 1401.75, 
1944, 294.14, 1444.75, 
1944, 295.33, 0.00, 
1945, 296.47, 0.00, 
1946, 297.66, 0.00, 
1946, 298.91, 0.00, 
1947, 300.09, 0.00, 
1948, 301.28, 0.00, 
1948, 302.44, 0.00, 
1949, 303.62, 0.00, 
1950, 304.78, 0.00, 
1950, 305.97, 0.00, 
1951, 314.55, 0.00, 
1951, 308.33, 0.00, 
1952, 309.52, 0.00, 
1953, 310.69, 0.00, 
1953, 311.86, 0.00, 
1954, 320.61, 0.00, 
1955, 321.81, 0.00, 
1955, 323.03, 0.00, 
1956, 316.69, 0.00, 
1957, 317.87, 3321.25, 
1957, 319.11, 3294.25, 
1958, 320.34, 3272.50, 
1959, 321.52, 3259.00, 
1959, 322.77, 3246.25, 
1960, 324.02, 3236.00, 
1961, 325.23, 3231.00, 
1961, 326.45, 3218.25, 
1962, 327.64, 3194.25, 
1963, 328.88, 3175.00, 
1963, 330.08, 3158.00, 
1964, 331.30, 3141.75, 
1965, 332.52, 3136.50, 
1965, 333.72, 3132.00, 
1966, 334.92, 3125.00, 
1966, 336.17, 3121.50, 
1967, 337.36, 3123.75, 
1968, 338.56, 3120.00, 
1968, 339.80, 3104.00, 
1969, 341.00, 3093.00, 
1970, 342.22, 3102.75, 
1970, 343.41, 0.00, 
1971, 352.17, 0.00, 
1972, 353.39, 0.00, 
1984, 347.05, 3412.75, 
1985, 348.23, 3459.00, 
1985, 349.45, 3482.50, 
1986, 350.66, 3516.50, 
1987, 351.86, 3550.75, 
1987, 353.08, 3575.75, 
1988, 1.87, 0.00, 
1998, 355.50, 3630.50, 
1998, 356.69, 3690.25, 
1999, 357.92, 3752.25, 
2000, 359.11, 3805.25, 
2000, 0.33, 3822.25, 
2010, 1.55, 3862.75, 
2011, 2.77, 3931.00, 
2011, 11.59, 0.00, 
2012, 12.80, 0.00, 
2013, 14.02, 0.00, 
2013, 15.22, 0.00, 
2014, 16.44, 0.00, 
2015, 17.66, 0.00, 
2015, 11.12, 0.00, 
2016, 20.02, 0.00, 
2017, 21.22, 0.00, 
2017, 22.44, 0.00, 
2018, 23.64, 0.00, 
2019, 17.22, 0.00, 
2019, 18.44, 4009.25, 
2020, 19.67, 3924.00, 
2020, 20.88, 3836.25, 
2021, 22.08, 3758.25, 
2022, 23.31, 3685.00, 
2022, 24.52, 3628.00, 
2023, 25.73, 3567.75, 
2024, 121.75, 0.00, 
2024, 130.30, 0.00, 
2025, 131.52, 0.00, 
2026, 132.72, 0.00, 
2026, 133.94, 0.00, 
2027, 135.16, 0.00, 
2028, 136.36, 0.00, 
2028, 137.58, 0.00, 
2029, 138.73, 0.00, 
2030, 139.94, 0.00, 
2030, 141.16, 0.00, 
2031, 142.36, 0.00, 
2032, 143.56, 0.00, 
2032, 144.78, 0.00, 
2033, 145.98, 0.00, 
2033, 147.19, 0.00, 
2034, 148.41, 0.00, 
2035, 149.61, 0.00, 
2035, 150.81, 0.00, 
2036, 152.03, 0.00, 
2037, 153.22, 0.00, 
2037, 154.44, 0.00, 
2038, 155.64, 0.00, 
2039, 156.86, 0.00, 
2039, 158.06, 0.00, 
2040, 159.27, 0.00, 
2041, 160.48, 0.00, 
2041, 161.69, 0.00, 
2042, 162.92, 0.00, 
2043, 164.13, 0.00, 
2043, 165.33, 0.00, 
2044, 166.55, 0.00, 
2044, 167.75, 0.00, 
2045, 168.97, 0.00, 
2046, 170.17, 0.00, 
2046, 171.37, 0.00, 
2047, 172.59, 0.00, 
2048, 173.80, 0.00, 
2048, 175.02, 0.00, 
2049, 176.22, 0.00, 
2050, 177.42, 0.00, 
2050, 178.64, 0.00, 
2051, 179.84, 0.00, 
2052, 181.05, 0.00, 
2052, 182.27, 0.00, 
2053, 183.47, 0.00, 
2054, 184.67, 0.00, 
2054, 185.89, 26.25, 
2055, 212.03, 916.50, 
2055, 213.23, 905.25, 
2056, 214.50, 896.25, 
2057, 215.58, 888.75, 
2057, 216.92, 881.25, 
2058, 218.02, 874.25, 
2059, 219.28, 868.00, 
2059, 220.47, 860.75, 
2060, 221.69, 854.75, 
2061, 222.92, 850.25, 
2061, 224.23, 845.00, 
2062, 225.41, 840.50, 
2063, 226.53, 837.00, 
2063, 227.87, 833.25, 
2064, 229.02, 830.25, 
2065, 230.27, 828.00, 
2065, 231.52, 825.25, 
2066, 232.72, 822.50, 
2067, 233.92, 820.50, 
2067, 235.13, 820.00, 
2068, 236.37, 819.25, 
2069, 237.58, 821.50, 
2069, 239.44, 0.00, 
2070, 240.91, 0.00, 
2070, 242.31, 538.75, 
2071, 243.59, 525.75, 
2072, 244.66, 0.00, 
2072, 245.81, 502.00, 
2073, 247.27, 500.75, 
2074, 248.34, 499.00, 
2074, 249.64, 501.00, 
2075, 250.69, 504.50, 
2076, 252.08, 506.50, 
2076, 253.27, 0.00, 
2077, 254.25, 526.00, 
2078, 255.55, 528.25, 
2078, 256.81, 531.50, 
2079, 257.91, 535.50, 
2080, 258.97, 544.50, 
2080, 260.13, 553.00, 
2081, 266.80, 0.00, 
2082, 261.58, 0.00, 
2082, 262.78, 898.50, 
2083, 264.09, 905.00, 
2084, 265.16, 915.75, 
2084, 266.34, 925.00, 
2085, 267.59, 934.00, 
2086, 268.73, 945.00, 
2086, 269.98, 956.50, 
2087, 271.17, 970.50, 
2087, 272.36, 984.50, 
2088, 273.59, 997.00, 
2089, 274.72, 1010.50, 
2089, 275.81, 1025.75, 
2090, 277.08, 1042.50, 
2091, 278.22, 1060.00, 
2091, 279.44, 1079.00, 
2092, 280.59, 1100.00, 
2093, 281.83, 1120.00, 
2093, 282.94, 1139.75, 
2094, 284.09, 1164.50, 
2095, 285.27, 1191.50, 
2095, 286.45, 1217.50, 
2096, 287.66, 1247.50, 
2097, 288.84, 1278.25, 
2097, 290.03, 1308.75, 
2098, 291.17, 1344.75, 
2099, 292.41, 1380.00, 
2099, 293.55, 0.00, 
2100, 294.69, 1468.25, 
2100, 295.86, 0.00, 
2101, 297.08, 0.00, 
2102, 298.20, 0.00, 
2102, 299.45, 0.00, 
2103, 300.64, 0.00, 
2104, 301.78, 0.00, 
2104, 302.95, 0.00, 
2105, 304.13, 0.00, 
2106, 305.33, 0.00, 
2106, 306.52, 0.00, 
2107, 307.69, 0.00, 
2108, 308.84, 0.00, 
2108, 317.48, 0.00, 
2109, 311.20, 0.00, 
2110, 312.38, 0.00, 
2110, 313.53, 0.00, 
2111, 322.31, 0.00, 
2112, 323.52, 0.00, 
2112, 317.17, 3350.25, 
2113, 325.94, 0.00, 
2113, 319.59, 3295.50, 
2114, 320.81, 3275.25, 
2115, 322.03, 3258.50, 
2115, 323.23, 3245.50, 
2116, 324.47, 3239.50, 
2117, 271.64, 8556.50, 
2137, 317.39, 3982.50, 
2138, 124.45, 21.75, 
2147, 1.86, 3878.25, 
2156, 3.05, 3963.75, 
2156, 11.91, 0.00, 
2157, 13.11, 0.00, 
2157, 14.33, 0.00, 
2158, 15.53, 0.00, 
2159, 16.73, 0.00, 
2159, 17.94, 0.00, 
2160, 11.48, 0.00, 
2161, 20.34, 0.00, 
2161, 21.55, 0.00, 
2162, 22.75, 0.00, 
2163, 16.34, 0.00, 
2163, 17.55, 4060.25, 
2164, 18.77, 3987.25, 
2165, 19.98, 3884.00, 
2165, 21.19, 3800.00, 
2166, 22.41, 3735.50, 
2166, 23.62, 3663.25, 
2167, 24.84, 3599.00, 
2168, 26.06, 3551.00, 
2168, 34.83, 0.00, 
2169, 36.05, 0.00, 
2170, 37.25, 0.00, 
2170, 38.45, 0.00, 
2171, 32.11, 0.00, 
2172, 33.34, 3220.00, 
2172, 34.63, 3186.75, 
2173, 35.81, 3163.75, 
2174, 37.05, 3142.75, 
2174, 38.27, 3115.00, 
2175, 39.47, 3089.75, 
2176, 40.69, 3064.50, 
2176, 41.91, 3043.50, 
2177, 43.11, 3024.00, 
2178, 44.33, 2996.50, 
