timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,anglX,anglY,anglZ
0.0,0,0,0.99,-0.02,-0.08,-0.07,-0.03,-0.01,0.54
7.407407407407407,0,0,1,0.12,0.12,0.05,-0.03,0,0.54
14.814814814814815,0,0,1,-0.14,-0.07,-0.01,-0.03,-0.01,0.54
22.22222222222222,0.01,0,0.99,0.09,0.07,-0.03,-0.03,-0.01,0.54
29.62962962962963,0.01,0,1,0.14,-0.01,0,-0.02,-0.02,0.54
37.03703703703704,0,0,1,0,0.01,0.05,-0.02,-0.02,0.54
44.44444444444444,0,0,1,0,0.24,0.14,-0.02,-0.02,0.54
51.851851851851855,0,0,1,-0.02,0.02,0.09,-0.02,-0.02,0.54
59.25925925925926,0,0,1,0.04,-0.21,0,-0.02,-0.02,0.54
66.66666666666667,0,0,0.99,0.14,0.04,-0.06,-0.02,-0.03,0.54
74.07407407407408,0,0,1,0.14,0.13,0.06,-0.03,-0.03,0.54
81.48148148148148,0,0,1,-0.06,-0.04,0.15,-0.03,-0.02,0.54
88.88888888888889,0,0,0.99,0.09,0.21,-0.09,-0.03,-0.02,0.54
96.29629629629629,0,0,0.99,-0.18,-0.01,0,-0.03,-0.02,0.54
103.70370370370371,0,0,1.01,0.15,-0.22,0.02,-0.03,-0.03,0.54
111.11111111111111,0,0,0.99,-0.06,-0.17,0.06,-0.03,-0.03,0.54
118.51851851851852,0,0,1,-0.06,-0.02,-0.12,-0.03,-0.03,0.54
125.92592592592592,0,0,1,-0.05,0.16,0.08,-0.02,-0.03,0.54
133.33333333333334,0,0,1,-0.08,-0.16,-0.14,-0.02,-0.03,0.54
140.74074074074073,0,0,1,-0.11,0.16,0.11,-0.02,-0.03,0.54
148.14814814814815,0,0,1,0,-0.05,0.12,-0.01,-0.03,0.54
155.55555555555554,0,0,1,0.01,0.12,0.11,-0.02,-0.03,0.54
162.96296296296296,0,0,1,0.03,-0.13,0.03,-0.02,-0.03,0.54
170.37037037037038,0,0,1,0.14,-0.16,-0.01,-0.01,-0.03,0.54
177.77777777777777,0,0,1,-0.02,0.15,-0.07,-0.02,-0.03,0.54
185.1851851851852,0,0,1,-0.02,-0.05,0.09,-0.01,-0.03,0.54
192.59259259259258,0,0,1,0,-0.05,0.11,-0.01,-0.03,0.54
200.0,0,0,1,-0.06,-0.11,-0.15,-0.02,-0.03,0.54
207.40740740740742,0,0,1,0.17,0.02,-0.1,-0.02,-0.03,0.54
214.8148148148148,0,0,1,0.04,-0.05,0.09,-0.02,-0.03,0.54
