timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,anglX,anglY,anglZ
0.0,0,0,0.99,0.05,-0.02,-0.02,0.01,0.03,-0.34
7.407407407407407,0,0,1,0.25,-0.23,-0.07,0.01,0.02,-0.34
14.814814814814815,0,0,1,0.02,0.18,-0.11,0.01,0.03,-0.35
22.22222222222222,-0.01,0,1,0.02,0.06,0.06,0.01,0.03,-0.35
29.62962962962963,0,0,1,0.04,0.06,0.06,0.01,0.03,-0.34
37.03703703703704,0,0,1.01,-0.19,0.04,-0.04,0.02,0.03,-0.35
44.44444444444444,0,0,1.01,-0.04,0.18,0.03,0.01,0.03,-0.34
51.851851851851855,0,0,1,0.16,0.01,-0.14,0.01,0.03,-0.35
59.25925925925926,0,0,1,0.05,-0.29,-0.04,0.01,0.02,-0.35
66.66666666666667,0,0,1,0.01,-0.03,0.07,0.01,0.02,-0.35
74.07407407407408,0,0,1,-0.05,0.06,-0.1,0.01,0.02,-0.35
81.48148148148148,0,0,1,0.11,0.07,0.07,0.01,0.02,-0.35
88.88888888888889,0,0.01,1,-0.01,-0.02,0.16,0.02,0.02,-0.34
96.29629629629629,0,0,0.99,0.04,-0.05,0.04,0.02,0.02,-0.34
103.70370370370371,0,0,0.99,0.01,-0.17,-0.04,0.02,0.02,-0.34
111.11111111111111,0,0,1,-0.05,-0.22,-0.13,0.02,0.02,-0.35
118.51851851851852,0,0,0.99,-0.01,0.06,0.04,0.02,0.02,-0.35
125.92592592592592,-0.01,0,1,-0.01,0.1,0.07,0.02,0.03,-0.34
133.33333333333334,0,0,1,0.11,-0.06,0.03,0.02,0.02,-0.34
140.74074074074073,0,0,1.01,-0.05,-0.02,-0.16,0.02,0.03,-0.35
148.14814814814815,-0.01,0,1,-0.02,0.03,0.13,0.02,0.03,-0.34
155.55555555555554,0,0,1,-0.13,0.07,0.09,0.02,0.04,-0.34
162.96296296296296,0,0,1,-0.05,-0.09,-0.02,0.02,0.04,-0.34
170.37037037037038,0,-0.01,1,0.08,-0.09,-0.11,0.02,0.03,-0.35
177.77777777777777,0,0,0.99,-0.05,0.17,0.09,0.01,0.03,-0.34
185.1851851851852,0.01,0,1,-0.1,-0.09,0.18,0.01,0.02,-0.34
192.59259259259258,0,0,1,0.11,0.07,-0.05,0.01,0.02,-0.34
200.0,0,0,1,0.13,0,0.09,0.01,0.02,-0.34
207.40740740740742,0,0,1.01,0.08,-0.09,-0.02,0.01,0.01,-0.34
214.8148148148148,0,0,1,0.07,-0.11,0.04,0.01,0.01,-0.34
222.22222222222223,0,0,1,0.04,-0.14,0.06,0.01,0.01,-0.34
229.62962962962962,0,0,1,-0.08,0.03,-0.04,0.01,0.01,-0.34
237.03703703703704,0.01,0,1,0.04,-0.05,-0.04,0.01,0,-0.34
244.44444444444446,0,0,1.01,-0.02,0.03,0.04,0.01,0,-0.34
251.85185185185185,0,0,1,-0.04,-0.12,0.06,0.01,-0.01,-0.34
259.25925925925924,0,0,1.01,0.13,-0.05,0.09,0,-0.01,-0.34
266.6666666666667,0,0,1,0.05,0.12,-0.16,0.01,-0.01,-0.34
274.0740740740741,0,0,1,0.01,-0.19,-0.13,0,-0.01,-0.34
281.48148148148147,0,0,0.99,-0.05,0.03,0.04,0.01,-0.01,-0.34
288.8888888888889,0,0,1,0.14,0.01,-0.04,0.01,-0.01,-0.34
296.2962962962963,0.01,0,1,0.05,0.01,-0.01,0.01,-0.02,-0.34
303.7037037037037,0.01,0,1.01,-0.12,-0.05,-0.01,0.01,-0.03,-0.34
311.1111111111111,0,0,1,0.17,0.06,0.12,0.02,-0.02,-0.34
318.51851851851853,0,0,0.99,-0.01,-0.05,-0.13,0.01,-0.02,-0.34
325.9259259259259,0,0,1,0.01,0.04,0.1,0.02,-0.02,-0.34
333.3333333333333,0,0.01,1,-0.02,0.12,0.1,0.02,-0.03,-0.34
340.74074074074076,0,0,1.01,-0.02,0.12,0.13,0.02,-0.02,-0.34
348.14814814814815,0,0,1,0.01,0.15,-0.14,0.02,-0.02,-0.34
355.55555555555554,0,0.01,0.99,0.13,0.01,-0.01,0.03,-0.02,-0.34
362.962962962963,0,0,1,0.13,0.15,-0.05,0.02,-0.02,-0.34
370.3703703703704,0,0,1,-0.04,-0.05,-0.04,0.02,-0.02,-0.34
377.77777777777777,0,0,1,-0.02,-0.08,0.09,0.02,-0.02,-0.34
385.18518518518516,0,0,1,0.08,0.12,0.01,0.02,-0.02,-0.34
392.5925925925926,0,-0.01,1,0.13,0.01,-0.01,0.01,-0.02,-0.34
400.0,0,0,1,0.02,0.04,-0.1,0.01,-0.02,-0.34
407.4074074074074,0,0.01,1,-0.07,0,0.15,0.01,-0.02,-0.34
414.81481481481484,0,0,0.99,-0.04,0.01,-0.02,0.02,-0.01,-0.34
422.22222222222223,0,0,1,-0.04,-0.12,-0.08,0.02,-0.01,-0.34
429.6296296296296,-0.01,0,1,-0.13,-0.19,0.03,0.02,0,-0.34
437.03703703703707,0,0,1,-0.04,-0.05,0.01,0.01,0,-0.34
444.44444444444446,0,0,1,-0.02,0,-0.1,0.01,0,-0.34
451.85185185185185,0,0,1,-0.08,0.12,-0.14,0.01,-0.01,-0.34
459.25925925925924,0,0,1.01,-0.07,-0.05,-0.04,0.01,0,-0.34
466.6666666666667,0,-0.01,0.99,0.11,0.07,-0.07,0,0,-0.35
474.0740740740741,0,0,0.99,0.16,0.06,-0.04,0,0,-0.35
481.48148148148147,0,-0.01,1,-0.13,-0.02,0.06,-0.01,0,-0.35
488.8888888888889,0,0,0.99,-0.07,0.06,0.1,-0.01,0,-0.34
496.2962962962963,0,0.01,1,0.08,0.04,0.03,0,0,-0.34
503.7037037037037,0.02,-0.03,1.2,0.28,-1.94,-0.05,-0.03,-0.03,-0.34
511.1111111111111,-0.04,0.01,1.11,1.34,-0.73,-0.05,0,0,-0.35
518.5185185185185,-0.02,-0.06,1.4,0.88,-3.15,0.07,-0.04,0.01,-0.34
525.925925925926,0,-0.02,1.04,0.3,-1.67,0.27,-0.06,-0.01,-0.34
533.3333333333334,-0.03,0.08,0.46,1.43,0.44,0.18,0.15,0.07,-0.34
540.7407407407408,0.01,0,0.49,1.41,0.09,0.06,0.15,0.06,-0.34
548.1481481481482,0.01,0.03,1.11,0.86,-0.25,0.01,0.18,0.04,-0.34
555.5555555555555,-0.01,0,1.44,0.57,-0.75,-0.02,0.18,0.04,-0.34
562.9629629629629,0,0.03,1.14,0.83,2.78,0.36,0.21,0.06,-0.34
570.3703703703703,0.13,-0.02,0.82,2.22,5.45,0.36,0.2,-0.08,-0.34
577.7777777777778,-0.01,-0.09,0.36,1.81,-5.3,0.16,-0.06,-0.07,-0.34
585.1851851851852,-0.05,0.02,0.95,-0.13,-0.28,0.04,-0.04,-0.01,-0.33
