timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,anglX,anglY,anglZ
0.0,0,0,1,-0.1,0.1,0.04,0,0.02,-3.9
6.578947368421052,0,0,1,-0.05,0,-0.06,-0.01,0.03,-3.9
13.157894736842104,0,0,1,-0.05,-0.09,-0.04,0,0.03,-3.9
19.736842105263158,0,0,1,0.04,-0.01,-0.18,-0.01,0.02,-3.9
26.31578947368421,0,0,1,-0.01,-0.03,0.17,-0.01,0.02,-3.9
32.89473684210526,0,0,1,-0.05,0.2,0.13,-0.01,0.02,-3.9
39.473684210526315,0,0,1,-0.05,0.02,-0.04,-0.01,0.01,-3.9
46.05263157894736,-0.01,0,1,0.01,-0.04,-0.04,-0.01,0.02,-3.9
52.63157894736842,-0.01,0,1,-0.01,0.02,0.16,-0.01,0.03,-3.9
59.21052631578947,0,0,1.01,-0.1,0.04,0.05,-0.01,0.03,-3.9
65.78947368421052,-0.01,0,0.99,-0.04,-0.06,-0.12,-0.01,0.04,-3.9
72.36842105263158,0,0,1,0.1,-0.07,-0.09,-0.01,0.03,-3.9
78.94736842105263,0,0,1,0.16,0.17,-0.18,-0.01,0.03,-3.9
85.52631578947368,0,0.01,1,0.11,0.05,-0.06,-0.01,0.03,-3.9
92.10526315789473,0,0.01,1,0.04,-0.07,-0.03,0.01,0.03,-3.9
98.68421052631578,0,-0.01,0.99,-0.27,-0.03,0.05,0,0.03,-3.9
105.26315789473684,0,0,1,0.07,0,0.17,0,0.04,-3.9
111.84210526315789,0,0,1,0.02,-0.12,-0.03,-0.01,0.03,-3.9
118.42105263157895,0,0,1,0.11,0.31,-0.09,-0.01,0.03,-3.9
124.99999999999999,0,0,1,-0.01,0.26,-0.07,-0.01,0.03,-3.9
131.57894736842104,-0.01,0,1,-0.08,-0.06,-0.13,-0.01,0.03,-3.9
138.1578947368421,0,0,1.01,-0.05,-0.24,-0.15,-0.01,0.03,-3.9
144.73684210526315,-0.01,0,1.01,-0.07,-0.09,-0.06,-0.01,0.04,-3.9
151.3157894736842,0,0.01,1,-0.12,-0.01,0.1,0,0.03,-3.9
157.89473684210526,0,0,1,-0.07,0.11,-0.12,-0.01,0.04,-3.9
164.4736842105263,0.01,0,1,-0.04,0.17,-0.09,-0.01,0.03,-3.9
171.05263157894737,0.01,0,1.01,-0.01,-0.09,-0.13,-0.01,0.03,-3.9
177.6315789473684,0,0,1,0.01,-0.04,-0.07,-0.01,0.03,-3.91
184.21052631578945,-0.01,0,0.99,-0.07,-0.1,0,0,0.03,-3.91
190.78947368421052,0,0.01,1,-0.07,-0.06,0.08,0,0.03,-3.9
197.36842105263156,-0.01,0,1,0.02,0.14,-0.09,0,0.04,-3.91
203.94736842105263,0,0,1,0.08,-0.03,-0.09,0,0.04,-3.91
210.52631578947367,0,0,1.01,0.13,0.1,0.02,0,0.04,-3.91
217.1052631578947,0,-0.01,1,-0.15,0,-0.06,-0.01,0.04,-3.91
223.68421052631578,0,0,0.99,0.04,0.1,0.02,-0.01,0.04,-3.91
230.26315789473682,0,-0.01,1,-0.15,0.04,0.04,-0.01,0.03,-3.91
236.8421052631579,0,0,1,-0.18,0.14,-0.12,-0.02,0.03,-3.91
243.42105263157893,0,0,1,-0.04,0.07,-0.1,-0.02,0.03,-3.91
249.99999999999997,0,-0.01,1,-0.08,-0.06,0.05,-0.03,0.03,-3.91
256.57894736842104,0,0.01,1,-0.12,-0.1,-0.27,-0.02,0.03,-3.91
263.1578947368421,0,0,0.99,-0.1,-0.3,0.04,-0.02,0.02,-3.91
269.7368421052631,-0.01,-0.01,1,-0.19,0.07,-0.03,-0.03,0.03,-3.91
276.3157894736842,0,0,1,0.11,0.02,0.08,-0.03,0.03,-3.91
282.89473684210526,-0.01,0,0.99,0.04,0.11,-0.01,-0.03,0.04,-3.91
289.4736842105263,0.01,0,1,0.02,-0.04,0.02,-0.03,0.03,-3.91
296.05263157894734,0,0,1,-0.21,0.16,-0.04,-0.03,0.03,-3.91
302.6315789473684,0,0,1.01,0.05,0.16,-0.09,-0.03,0.03,-3.91
309.2105263157895,0,0,0.99,-0.08,-0.04,0.28,-0.03,0.03,-3.91
315.7894736842105,0,-0.01,1,0.14,-0.13,0.19,-0.03,0.03,-3.91
322.36842105263156,0,0,0.99,0.07,0.08,0.05,-0.03,0.03,-3.91
328.9473684210526,-0.01,0,1,-0.04,0.04,0,-0.03,0.03,-3.91
335.52631578947364,0,0.01,0.99,-0.05,0.08,-0.06,-0.02,0.03,-3.91
342.10526315789474,0,0,1,0.02,-0.04,0.07,-0.02,0.04,-3.91
348.6842105263158,0,0,0.99,0.05,0.08,-0.07,-0.01,0.03,-3.91
355.2631578947368,0,0,1,-0.12,-0.03,0.02,-0.02,0.02,-3.91
361.84210526315786,0,0,1,0.02,-0.03,-0.1,-0.01,0.03,-3.91
368.4210526315789,0,0,1.01,-0.04,0.04,0.13,-0.01,0.02,-3.91
375.0,0,0,1,0.05,-0.18,-0.04,-0.02,0.02,-3.91
381.57894736842104,-0.01,-0.01,0.99,-0.02,-0.01,-0.16,-0.02,0.02,-3.91
388.1578947368421,0,0,1,0.13,0.14,-0.01,-0.02,0.02,-3.91
394.7368421052631,0,0,1,-0.01,0.29,-0.03,-0.02,0.03,-3.91
401.31578947368416,0,-0.01,1,-0.1,0.19,-0.07,-0.03,0.03,-3.91
407.89473684210526,0,0,1,-0.1,-0.19,0.08,-0.03,0.03,-3.91
414.4736842105263,0,0,1,0.02,0,0,-0.02,0.03,-3.91
