timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,anglX,anglY,anglZ
0.0,0,0,1,0.16,-0.03,0.01,0,0,-0.18
7.407407407407407,0,-0.01,0.99,-0.07,0.06,-0.05,-0.01,0,-0.18
14.814814814814815,0,0,0.99,-0.1,-0.05,0.03,-0.01,-0.01,-0.18
22.22222222222222,0,0,1.01,-0.08,-0.08,0.12,0,-0.01,-0.18
29.62962962962963,0,0,1,0.07,-0.03,-0.08,0,-0.01,-0.18
37.03703703703704,0,0,1,0.08,-0.12,0.1,0,0,-0.18
44.44444444444444,-0.01,0,1,-0.16,-0.05,0.03,0,0,-0.18
51.851851851851855,0,0,0.99,0.17,-0.05,-0.07,0,0,-0.18
59.25925925925926,0,0,1,0.02,-0.11,0.03,0,0,-0.18
66.66666666666667,-0.01,-0.01,1,-0.05,-0.15,-0.02,-0.01,0.01,-0.18
74.07407407407408,0,0,1,0.07,-0.11,0.04,0,0.01,-0.18
81.48148148148148,0.01,0.01,0.99,-0.04,0.1,0.1,0,0,-0.18
88.88888888888889,-0.01,0,1,0.08,0.09,0.06,0,0.01,-0.18
96.29629629629629,0.01,0,0.99,-0.01,-0.02,-0.02,0,0,-0.18
103.70370370370371,0,0,1,-0.04,0.07,0.07,0,0,-0.18
111.11111111111111,0,-0.01,1,-0.05,-0.22,0.18,-0.01,0,-0.18
118.51851851851852,0,0,1,-0.21,0.12,-0.05,-0.01,0,-0.18
125.92592592592592,0,0,0.99,-0.04,-0.03,-0.08,-0.02,0,-0.18
133.33333333333334,0,0,1.01,-0.04,-0.22,-0.05,-0.02,-0.01,-0.18
140.74074074074073,0,0,0.99,-0.01,-0.17,0.19,-0.02,-0.01,-0.18
148.14814814814815,0,0,0.99,-0.08,-0.14,-0.13,-0.02,-0.02,-0.18
155.55555555555554,0.01,0,1,0.14,0,-0.04,-0.01,-0.02,-0.18
162.96296296296296,0,0,0.99,0.19,-0.11,0.04,-0.02,-0.02,-0.18
170.37037037037038,0,0,0.99,-0.02,-0.19,-0.08,-0.02,-0.03,-0.18
177.77777777777777,0,0,0.99,0.11,0.01,0.01,-0.01,-0.03,-0.18
185.1851851851852,0,0,1,-0.16,0.06,-0.02,-0.02,-0.03,-0.18
192.59259259259258,0,-0.01,1,-0.12,0.06,0.04,-0.02,-0.03,-0.18
200.0,0,0,1,-0.12,-0.08,0.03,-0.02,-0.03,-0.18
207.40740740740742,0,0,0.99,0.07,-0.12,-0.04,-0.02,-0.03,-0.18
214.8148148148148,0,0,1,-0.04,0.01,-0.02,-0.03,-0.03,-0.18
222.22222222222223,0.01,0,1,-0.05,-0.02,-0.02,-0.03,-0.03,-0.18
229.62962962962962,0,0,1,0.05,-0.02,-0.07,-0.03,-0.03,-0.18
237.03703703703704,0,0,1,0.11,0.03,-0.04,-0.03,-0.03,-0.18
244.44444444444446,0,0.01,0.99,-0.04,-0.19,-0.13,-0.02,-0.03,-0.18
251.85185185185185,0,0,0.99,-0.01,0.14,-0.01,-0.02,-0.03,-0.18
259.25925925925924,0,0,1,0.1,0.01,-0.16,-0.03,-0.03,-0.18
266.6666666666667,0.01,0,1,0.14,0.04,0.09,-0.02,-0.04,-0.18
274.0740740740741,0,-0.01,1,-0.08,-0.06,0.03,-0.03,-0.03,-0.18
281.48148148148147,0,0.01,1.01,-0.01,0.01,0.19,-0.02,-0.03,-0.18
288.8888888888889,0,0,0.99,0.08,0.2,0.03,-0.01,-0.04,-0.18
296.2962962962963,0,0,1,-0.12,-0.15,-0.17,-0.01,-0.04,-0.18
303.7037037037037,0.01,0,1,0.04,-0.12,0.07,-0.01,-0.04,-0.18
311.1111111111111,0,0,1.01,-0.13,-0.08,0.12,-0.02,-0.04,-0.18
318.51851851851853,0,0,1,0.11,0.06,0.1,-0.01,-0.04,-0.18
325.9259259259259,0,0,1,-0.04,0.21,0.15,-0.01,-0.03,-0.18
333.3333333333333,0,0,1,0.08,0,-0.11,-0.01,-0.03,-0.18
340.74074074074076,0,0,1,-0.01,0,0.04,-0.02,-0.03,-0.18
348.14814814814815,0,0,1,-0.12,0.15,-0.1,-0.01,-0.02,-0.18
355.55555555555554,0,0,0.99,0.11,-0.02,-0.04,-0.01,-0.02,-0.18
362.962962962963,0,0,0.99,0.05,0.17,-0.05,-0.01,-0.02,-0.18
370.3703703703704,0,0,1,0.08,0.12,-0.17,-0.01,-0.02,-0.18
377.77777777777777,0,0,1,-0.13,0.06,-0.08,-0.01,-0.02,-0.18
385.18518518518516,0,0,1,-0.02,0.09,-0.04,-0.01,-0.01,-0.18
392.5925925925926,0,0,1.01,0.02,-0.05,0.03,-0.01,-0.01,-0.18
400.0,0,-0.01,1,0.01,-0.06,-0.08,-0.02,-0.01,-0.18
407.4074074074074,-0.01,-0.01,1,-0.15,-0.03,0.09,-0.02,-0.01,-0.18
414.81481481481484,0,0,1,0.01,-0.02,0.09,-0.03,-0.01,-0.18
422.22222222222223,-0.01,0,1,0.1,0.17,-0.01,-0.03,0,-0.18
429.6296296296296,0.01,0,0.99,-0.04,-0.03,0.09,-0.03,-0.01,-0.18
437.03703703703707,0,0,1,0.1,0.07,0.06,-0.02,0,-0.18
444.44444444444446,0,0,1,0.08,0.21,-0.07,-0.01,0,-0.18
451.85185185185185,0.01,0,1,-0.05,0.17,0.01,-0.02,-0.01,-0.18
459.25925925925924,0,0,0.99,-0.13,-0.08,0.04,-0.01,-0.01,-0.18
466.6666666666667,0,0,0.99,0.02,-0.19,0.03,-0.01,-0.01,-0.18
474.0740740740741,0,0,1,0.02,0.01,-0.02,-0.01,-0.01,-0.18
481.48148148148147,0,0,1,0.1,-0.12,0.07,-0.02,-0.01,-0.18
488.8888888888889,0,0,1.01,-0.1,-0.2,-0.07,-0.02,-0.01,-0.18
496.2962962962963,0,0,0.99,0.02,-0.08,0.03,-0.02,-0.01,-0.18
503.7037037037037,0.01,0,1,-0.01,0,-0.04,-0.02,-0.02,-0.18
511.1111111111111,0.01,0,0.99,-0.04,-0.05,-0.05,-0.02,-0.03,-0.18
518.5185185185185,0,0,1,-0.08,0.14,0.18,-0.02,-0.03,-0.18
525.925925925926,0,0,1,-0.15,0.1,0.06,-0.02,-0.03,-0.18
533.3333333333334,0,0.01,1,0.07,0.3,-0.14,-0.02,-0.03,-0.18
540.7407407407408,0,0,1.01,0.01,0.12,-0.1,-0.02,-0.03,-0.18
548.1481481481482,-0.01,0,1,0.01,0.03,0.06,-0.02,-0.02,-0.18
555.5555555555555,0,0,1,-0.02,-0.23,0.04,-0.02,-0.03,-0.18
562.9629629629629,0,0,1,0.04,-0.05,0.07,-0.02,-0.03,-0.18
570.3703703703703,0,0,1,0.04,0.18,-0.11,-0.02,-0.03,-0.18
577.7777777777778,0,0,0.99,0.08,-0.22,-0.13,-0.02,-0.03,-0.18
585.1851851851852,0,0,1.01,-0.01,0.04,-0.07,-0.02,-0.03,-0.18
592.5925925925926,0,0,0.99,-0.07,-0.25,-0.11,-0.02,-0.02,-0.18
600.0,0,0,1,-0.01,-0.03,0.07,-0.02,-0.03,-0.18
607.4074074074074,0,0,0.99,0.08,0.03,-0.02,-0.02,-0.03,-0.18
614.8148148148148,0.01,0,1,-0.04,0.2,-0.07,-0.02,-0.03,-0.18
622.2222222222222,0,0,1,-0.01,0.03,0.1,-0.01,-0.03,-0.18
629.6296296296297,0,0,1,-0.01,-0.03,-0.04,-0.02,-0.03,-0.18
637.0370370370371,0,0,0.99,-0.08,0.03,-0.17,-0.02,-0.03,-0.18
644.4444444444445,0,0,1,-0.07,0.18,-0.17,-0.02,-0.04,-0.19
651.8518518518518,0,0,1,0.11,-0.05,0.03,-0.02,-0.04,-0.19
659.2592592592592,-0.01,0,1,0.07,0.04,-0.01,-0.01,-0.03,-0.19
666.6666666666666,-0.01,0,1,0.02,-0.19,-0.07,-0.01,-0.02,-0.19
674.0740740740741,0,0,1,0.1,0.03,0.12,-0.01,-0.02,-0.19
681.4814814814815,0,0,1,0.07,0.17,0.04,-0.01,-0.02,-0.19
688.8888888888889,0,0.01,1,0.11,-0.03,-0.05,0,-0.02,-0.19
696.2962962962963,0,0,1,-0.08,0,0.01,0,-0.02,-0.19
703.7037037037037,0,0,1,0.07,-0.08,-0.08,0,-0.02,-0.19
711.1111111111111,0,-0.01,0.99,-0.04,0.17,0.04,-0.01,-0.03,-0.19
718.5185185185185,0,0,1,-0.12,0.14,-0.02,-0.01,-0.03,-0.19
725.925925925926,0,0,1,-0.12,0.1,-0.05,-0.01,-0.03,-0.19
733.3333333333334,0,0,1,0.02,0.18,0.09,-0.01,-0.03,-0.19
740.7407407407408,0,0,1.01,0.05,-0.03,-0.01,-0.01,-0.03,-0.19
748.1481481481482,0,0,1,0.16,0.06,0.06,-0.01,-0.02,-0.19
755.5555555555555,0,0.01,1.01,0.04,0.09,-0.14,0,-0.03,-0.19
762.9629629629629,-0.01,-0.01,1.01,-0.1,-0.17,0.04,-0.01,-0.02,-0.19
770.3703703703703,0,0.01,1,-0.02,0.07,-0.11,0,-0.02,-0.19
777.7777777777778,0,-0.01,0.99,-0.08,0.14,-0.01,-0.01,-0.02,-0.19
785.1851851851852,-0.01,0,1,-0.07,0.03,0.12,-0.01,-0.01,-0.19
792.5925925925926,0,0,1,0.08,0.01,0.07,-0.01,0,-0.19
800.0,-0.01,0,1.01,0.08,-0.06,0.15,-0.01,0,-0.18
807.4074074074074,0,0,1,0.01,-0.05,-0.01,-0.01,0,-0.18
814.8148148148148,0,-0.01,1,0.11,-0.12,0.03,-0.02,0,-0.18
822.2222222222222,0,0,0.99,0.13,-0.08,-0.01,-0.02,0,-0.18
829.6296296296297,0,0,1.01,-0.04,-0.19,-0.04,-0.02,-0.01,-0.18
837.0370370370371,0.01,0,1,0.08,0.23,-0.14,-0.02,-0.01,-0.19
844.4444444444445,0,0,1,0.05,0.07,0.13,-0.02,-0.01,-0.18
851.8518518518518,0,0,1,-0.12,0.03,0.1,-0.02,-0.01,-0.18
859.2592592592592,0,0,1,0.05,0.09,0.04,-0.02,-0.01,-0.18
866.6666666666666,0,0,1,0.05,0.07,-0.01,-0.02,-0.01,-0.18
874.0740740740741,-0.01,0,1,-0.04,-0.25,0.01,-0.02,0,-0.18
881.4814814814815,0.01,0,1,0.05,-0.03,-0.14,-0.01,-0.01,-0.18
888.8888888888889,0.01,0,0.99,-0.07,0.06,0.01,-0.01,-0.01,-0.18
896.2962962962963,-0.01,0,0.99,-0.02,0.06,-0.07,-0.01,-0.01,-0.19
903.7037037037037,0,0,1.01,-0.07,-0.08,-0.02,-0.02,0,-0.19
911.1111111111111,0,0,0.99,0.13,-0.14,0.1,-0.02,-0.01,-0.18
918.5185185185185,0,0,1,0.01,-0.14,-0.05,-0.02,-0.01,-0.18
925.925925925926,0,0,1.01,-0.08,0.06,-0.07,-0.01,-0.01,-0.19
933.3333333333334,0,0,0.99,-0.01,0.21,0.06,-0.01,-0.01,-0.18
940.7407407407408,0,0,1,0.01,0.15,-0.08,-0.01,0,-0.19
948.1481481481482,0,0,1,0.05,-0.05,0.03,-0.02,-0.01,-0.19
955.5555555555555,0,0,1.01,0.25,0,-0.08,-0.01,0,-0.19
962.9629629629629,0,0,1,0.13,-0.02,0.06,-0.01,0,-0.19
970.3703703703703,0,0,1,-0.05,0.03,0.1,-0.01,0,-0.18
977.7777777777778,0,0,1,-0.01,-0.03,0.03,-0.01,0,-0.18
985.1851851851852,0,-0.01,1.01,0.16,0.12,-0.11,-0.02,0,-0.19
992.5925925925926,0,0,1,0.24,-0.02,-0.16,-0.02,0,-0.19
1000.0,0,0,1,0.07,-0.06,0.13,-0.02,0.01,-0.19
1007.4074074074074,-0.01,-0.01,1.01,-0.08,0.15,-0.08,-0.02,0.01,-0.19
1014.8148148148148,0,0,0.99,0.02,0.06,0.04,-0.02,0.01,-0.19
1022.2222222222222,0,0,1.01,0.05,-0.15,-0.08,-0.02,0.02,-0.19
1029.6296296296296,0,0,1,-0.02,0.03,0.09,-0.02,0.02,-0.19
1037.037037037037,0,0,0.99,0.01,-0.08,-0.04,-0.02,0.02,-0.19
1044.4444444444443,0,0,1,-0.02,-0.02,-0.1,-0.02,0.02,-0.19
1051.851851851852,0,0,1,-0.07,0.06,0.03,-0.02,0.02,-0.19
1059.2592592592594,0,0,1,0.01,-0.09,-0.08,-0.02,0.02,-0.19
1066.6666666666667,0,0,1,-0.01,0.04,0.07,-0.01,0.01,-0.19
1074.0740740740741,0,0,1,-0.13,0.03,-0.07,-0.02,0.02,-0.19
1081.4814814814815,0,0,1,-0.07,0.01,0.04,-0.02,0.01,-0.19
1088.888888888889,-0.01,0,1,-0.02,0.06,-0.01,-0.02,0.02,-0.19
1096.2962962962963,0,0,1,-0.07,0.07,0.06,-0.02,0.02,-0.19
1103.7037037037037,0,0,1,-0.08,-0.06,-0.2,-0.02,0.03,-0.19
1111.111111111111,0,-0.01,1,0.04,0.01,0.01,-0.02,0.03,-0.19
1118.5185185185185,0,0,1,-0.07,0.07,0.06,-0.02,0.03,-0.19
1125.9259259259259,0,0,1,-0.07,0.06,0.04,-0.02,0.03,-0.19
1133.3333333333333,0,0,1,-0.07,0.12,-0.19,-0.02,0.03,-0.19
1140.7407407407406,-0.01,0,1,0.07,-0.09,-0.05,-0.02,0.03,-0.19
1148.1481481481483,0,0,0.99,0.14,0.06,-0.13,-0.01,0.03,-0.19
1155.5555555555557,0,0,1,0.13,0.01,0.06,-0.01,0.03,-0.19
1162.962962962963,0,0,1,-0.01,0.09,0.09,-0.01,0.03,-0.19
1170.3703703703704,0,0,1.01,-0.01,-0.08,0.1,-0.01,0.02,-0.19
1177.7777777777778,0,0,1,-0.05,-0.17,0.06,-0.02,0.03,-0.19
