timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,anglX,anglY,anglZ
0.0,0,0,1.01,0.06,-0.12,0.13,0.04,0.06,-11.52
7.407407407407407,-0.01,0,1,-0.01,0.23,0.16,0.03,0.07,-11.52
14.814814814814815,0,0,0.99,-0.18,-0.07,0.06,0.03,0.06,-11.52
22.22222222222222,0,0,1,-0.06,0.06,0,0.03,0.06,-11.52
29.62962962962963,0,0.01,1.01,-0.15,0.03,-0.02,0.04,0.06,-11.52
37.03703703703704,0,0,1,-0.13,0.08,-0.03,0.04,0.06,-11.52
44.44444444444444,0,0,1,0.14,0.09,0.16,0.04,0.06,-11.52
51.851851851851855,0,0,1,0.03,0.05,0.12,0.05,0.06,-11.51
59.25925925925926,0,0,1,-0.17,0.11,-0.14,0.04,0.06,-11.52
66.66666666666667,0,0,1,-0.06,-0.03,0.03,0.04,0.06,-11.52
74.07407407407408,0,0,1,0.09,0.02,-0.14,0.04,0.06,-11.52
81.48148148148148,0,0,1,0.06,0.03,-0.08,0.04,0.06,-11.52
88.88888888888889,0,0,1,-0.24,-0.01,-0.03,0.03,0.07,-11.52
96.29629629629629,0,0,1,-0.03,-0.01,-0.22,0.03,0.07,-11.52
103.70370370370371,0,0,1.01,0.02,-0.03,0.06,0.03,0.06,-11.52
111.11111111111111,0.01,0,1,-0.12,-0.11,-0.09,0.03,0.05,-11.52
118.51851851851852,0.01,0,1,-0.04,-0.04,-0.06,0.03,0.04,-11.52
125.92592592592592,0.01,0,1,0.03,-0.09,0.1,0.02,0.04,-11.52
133.33333333333334,0,0,1,0.2,0.02,-0.14,0.02,0.04,-11.52
140.74074074074073,0,0,1,0.06,0.03,-0.16,0.02,0.04,-11.52
148.14814814814815,0,0,0.99,0.09,0,0.04,0.02,0.04,-11.52
155.55555555555554,-0.01,0,0.99,-0.09,-0.14,0.13,0.02,0.05,-11.52
162.96296296296296,0,0,1,-0.07,-0.2,0.07,0.02,0.05,-11.52
170.37037037037038,0,0,1,-0.12,-0.18,-0.02,0.02,0.05,-11.52
177.77777777777777,0,0,0.99,0,0,0.07,0.02,0.05,-11.52
185.1851851851852,0,0,1,-0.06,0.14,0.13,0.02,0.05,-11.52
192.59259259259258,-0.01,0,1.01,0,0.02,0.12,0.02,0.05,-11.52
200.0,0,0,1,0.06,-0.2,-0.14,0.02,0.05,-11.52
207.40740740740742,0,0,0.99,0,0.18,-0.09,0.02,0.05,-11.52
214.8148148148148,0,0,1.01,0,0.12,0.26,0.02,0.05,-11.52
222.22222222222223,0,0,1,0.11,0.02,-0.02,0.02,0.05,-11.52
229.62962962962962,0,0,1,-0.06,-0.11,-0.08,0.02,0.05,-11.52
237.03703703703704,0.01,0.01,1,-0.04,-0.06,-0.08,0.03,0.04,-11.52
244.44444444444446,0,0,1,-0.07,0.03,-0.2,0.03,0.03,-11.52
251.85185185185185,0,0,1,0.09,-0.21,-0.11,0.03,0.03,-11.52
259.25925925925924,0,0,1,0.03,-0.12,0.15,0.03,0.03,-11.52
266.6666666666667,0,0,1,0.06,0.28,0.18,0.03,0.03,-11.52
274.0740740740741,-0.01,0,1,-0.06,0.08,-0.11,0.03,0.04,-11.52
281.48148148148147,0,0,1,-0.03,-0.11,0.13,0.03,0.03,-11.52
288.8888888888889,0,0,0.99,0.06,0.15,-0.03,0.03,0.03,-11.52
296.2962962962963,0,0,1,-0.1,0.03,-0.02,0.03,0.04,-11.52
